25.4mm,9.5mm,4.8mm,2.0mm,0.42mm,0.076mm,LL ,IP ,Umidade Ótima,Densidade máxima ,CBR 
"97,70","88,40","73,00","61,90","42,70","25,50","34,00","8,00","10,00",1950,"39,20"
"99,60","89,60","60,80","41,50","28,90","19,30","34,00","7,00","10,80",1925,"43,30"
"98,60","90,20","66,20","46,60","32,40","10,30","33,00","5,00","10,00",1980,"31,90"
"98,60","85,30","62,30","43,20","37,60","25,10","35,00","10,00","14,00",1960,"36,60"
"98,60","86,20","62,70","47,40","34,70","23,40","34,00","9,00","11,20",1940,"30,80"
"98,00","91,80","72,30","54,80","40,90","25,80","32,00","8,00","12,10",1962,"33,00"
"99,50","91,00","67,50","49,10","37,70","31,80","35,00","9,00","14,00",1940,"28,60"
"98,20","91,40","69,20","51,10","41,40","28,50","35,00","10,00","9,20",1960,"30,80"
"99,30","90,40","64,20","42,20","30,70","20,20","36,00","10,00","11,90",1990,"40,50"
"98,00","89,80","67,00","55,40","47,00","27,10","35,00","9,00","10,00",2000,"10,20"
"98,20","87,70","69,80","57,00","47,20","27,40","35,00","9,00","10,50",2040,"38,10"
"99,80","93,40","67,20","48,40","39,60","24,40","35,00","9,00","8,40",1970,"35,30"
"99,90","90,80","66,20","41,20","34,30","23,80","34,00","8,00","8,80",1935,"36,60"
"98,70","88,10","60,60","44,30","31,70","19,70","37,00","8,00","9,60",1950,"35,00"
"100,00","99,60","95,90","87,89","78,00","44,00","37,00","10,00","9,00",1947,"33,70"
"99,20","74,00","58,30","43,30","33,10","24,00","32,00","8,00","11,40",1920,"43,30"
"98,70","89,90","72,20","60,90","51,20","33,60","35,00","11,00","12,80",1920,"43,30"
"98,80","93,20","80,80","69,00","51,20","28,60","33,00","9,00","11,40",1940,"43,70"
"99,60","92,60","56,40","34,00","30,90","21,10","37,00","10,00","9,00",1970,"44,10"
"98,30","93,10","72,80","56,00","50,20","34,10","35,00","11,00","11,20",1960,"38,80"
"99,00","90,70","74,50","63,40","43,50","27,70","34,00","8,00","10,00",1900,"31,70"
"99,50","92,60","84,30","76,50","65,70","49,40","36,00","8,00","14,20",1835,"35,90"
"98,60","93,20","79,60","67,00","44,40","26,00","33,00","9,00","8,00",1931,"31,60"
"88,10","70,40","51,21","48,80","37,20","21,00","35,00","8,00","11,80",1940,"32,10"
"99,00","90,40","66,50","51,80","38,90","30,36","37,00","9,00","10,00",1970,"31,40"
"100,00","95,50","77,20","66,20","55,20","37,90","35,00","7,00","13,80",1900,"20,50"
"98,10","81,00","58,00","45,00","31,10","21,80","35,00","9,00","9,20",1995,"33,70"
"99,40","92,90","69,70","52,00","39,40","26,30","34,00","10,00","12,00",1950,"31,60"
"99,70","93,90","73,10","59,00","50,70","27,60","34,00","9,00","9,20",1980,"33,70"
"98,00","87,40","68,00","56,50","46,60","27,90","35,00","9,00","10,80",1980,"35,20"
"92,40","69,20","55,40","49,20","36,10","18,50","37,00","8,00","13,60",1980,"36,60"
"99,50","89,60","59,40","36,40","29,50","19,67","34,00","8,00","12,20",1940,"36,60"
"90,00","64,84","49,90","38,92","29,34","15,68","32,00","10,00","8,60",2025,"60,45"
"94,60","60,70","48,50","39,50","32,60","22,10","32,00","11,00","8,60",2005,"45,32"
"96,20","81,10","63,40","50,80","38,80","22,30","33,00","11,00","10,10",2064,"57,79"
"94,20","79,10","68,00","55,30","41,30","26,10","35,00","13,00","8,90",2133,"49,92"
"91,40","71,60","61,50","56,00","37,10","19,80","32,00","7,00","9,70",2096,"39,52"
"88,40","67,90","54,00","40,00","32,40","25,90","32,00","32,00","7,10",2151,"54,53"
"91,60","65,80","53,40","37,80","31,50","24,50","30,00","30,00","7,20",2143,"57,58"
"92,10","66,50","55,10","38,50","31,50","25,00","32,00","32,00","7,00",2165,"60,02"
"97,30","79,10","63,60","48,50","41,40","33,60","40,00","14,00","10,20",2036,"58,90"
"98,40","85,50","59,90","39,50","33,00","25,80","33,00","12,00","11,70",2090,"54,26"
"95,00","69,00","52,60","34,50","27,70","19,70","30,10","8,90","6,10",2116,"85,80"
"91,30","67,10","58,40","41,20","29,70","23,10","29,00","10,00","7,20",2120,"115,77"
"94,60","77,60","64,50","54,70","36,00","15,60","28,00","9,00","8,00",2115,"82,53"
"92,50","87,20","75,20","62,10","40,90","23,40","27,00","8,00","7,40",2093,"45,16"
"91,06","57,58","46,41","37,09","29,26","15,49","30,00","9,00","8,20",2047,"27,04"
"92,70","67,60","57,70","49,60","42,00","28,90","34,00","14,00","10,60",1935,"21,98"
"88,60","68,90","58,00","48,90","38,00","21,70","33,00","11,00","9,00",1983,"24,00"
"92,40","72,90","61,20","52,20","41,42","25,80","35,00","12,00","11,80",1853,"42,02"
"88,80","68,60","53,70","40,20","33,10","27,00","33,00","12,00","9,90",2008,"39,82"
