No. da Amostra,25.4mm,9.5mm,4.8mm,2.0mm,0.42mm,0.076mm,LL,IP,Umidade Ótima,Densidade máxima,CBR
308,100.0,100.0,100.0,100.0,94.7,78.4,40.9,16.8,20.1,1689,7.0
309,100.0,100.0,100.0,100.0,95.5,78.4,42.5,16.4,20.2,1666,6.5
310,100.0,95.1,82.5,71.6,57.9,48.1,36.8,13.2,14.2,1842,18.5
311,100.0,94.4,82.6,71.5,56.0,47.2,33.5,11.3,14.0,1865,18.5
312,100.0,100.0,100.0,100.0,96.5,80.7,42.7,18.5,18.1,1656,6.1
313,100.0,96.2,81.8,69.4,54.3,46.2,40.9,16.6,14.7,1766,18.2
314,100.0,100.0,100.0,100.0,96.4,79.0,39.7,17.3,18.5,1679,8.2
315,100.0,100.0,100.0,100.0,94.8,77.8,40.9,16.8,17.3,1662,8.6
316,100.0,100.0,100.0,100.0,95.2,77.8,38.6,17.6,18.6,1667,8.5
317,100.0,100.0,100.0,100.0,95.0,77.9,40.5,15.9,19.5,1672,8.1
318,100.0,100.0,100.0,100.0,95.5,78.4,40.7,16.7,19.9,1661,8.1
319,100.0,100.0,100.0,100.0,95.4,78.0,39.9,16.8,18.3,1642,8.6
320,100.0,100.0,100.0,100.0,95.6,78.6,38.7,17.1,17.6,1647,8.0
321,100.0,100.0,100.0,100.0,94.4,77.0,40.6,16.6,17.8,1656,9.3
322,100.0,96.6,82.4,69.2,54.9,47.7,38.7,16.3,14.2,1877,21.0
323,100.0,100.0,100.0,100.0,97.2,85.9,41.6,11.9,22.4,1589,4.7
324,100.0,100.0,100.0,100.0,93.7,78.0,39.7,16.9,17.9,1676,8.1
325,100.0,100.0,100.0,100.0,96.4,83.9,45.8,13.7,21.5,1604,5.6
326,100.0,100.0,88.4,80.8,73.5,51.9,37.6,13.7,15.9,1682,9.9
327,100.0,100.0,89.1,81.9,76.1,54.6,36.6,13.6,15.6,1667,9.4
328,100.0,100.0,90.2,82.9,74.3,54.0,36.2,14.0,15.4,1674,9.6
329,100.0,100.0,86.3,77.9,68.9,49.9,37.6,13.6,15.3,1705,10.6
330,100.0,100.0,89.1,81.7,73.1,53.1,36.7,14.3,16.4,1678,9.5
331,89.8,60.8,32.6,22.2,16.7,14.0,24.8,4.7,10.3,2091,46.6
332,88.7,59.9,32.2,21.3,16.5,13.8,24.8,5.1,9.6,2090,48.5
333,88.5,58.3,30.5,21.0,16.2,13.6,24.6,5.3,9.7,2108,46.7
334,89.1,59.7,31.2,21.1,15.5,13.1,24.6,4.6,10.5,2080,44.8
335,89.1,59.3,31.0,20.7,15.9,13.7,23.9,5.6,9.5,2141,49.1
336,85.5,59.3,31.7,22.0,17.0,14.5,23.7,5.3,9.9,2091,48.8
337,88.6,59.9,31.8,22.0,16.7,14.1,24.4,4.3,10.0,2110,47.2
338,89.6,60.9,32.7,22.3,16.8,13.7,23.5,4.6,9.9,2107,48.7
339,88.4,57.9,31.0,21.2,16.1,13.8,23.8,4.9,9.9,2112,48.7
340,88.4,57.8,31.0,21.1,16.0,13.7,23.5,4.1,9.7,2125,50.3
341,88.4,57.8,30.8,20.9,16.0,13.7,23.1,4.2,9.6,2120,52.2
342,88.3,57.7,30.6,20.7,15.6,13.4,22.9,3.8,9.6,2142,53.0
343,88.3,57.8,30.8,21.0,16.0,13.6,22.8,3.9,9.6,2178,54.9
344,88.4,58.0,30.9,21.0,16.0,13.8,23.0,3.7,10.2,2110,52.2
345,88.4,58.2,31.1,21.2,16.2,13.8,23.2,3.1,9.6,2198,52.7
346,89.8,60.8,32.6,22.2,16.7,14.0,22.8,4.5,9.1,2551,83.0
347,88.7,59.9,32.2,21.3,16.5,13.8,23.8,4.1,10.5,2175,85.6
348,88.5,58.3,30.5,21.0,16.2,13.6,24.6,5.3,9.4,2168,86.9
349,89.1,59.7,31.2,21.1,15.5,13.1,24.6,4.6,8.9,2170,88.3
350,89.1,59.3,31.0,20.7,15.9,13.7,23.9,5.6,9.5,2162,84.6
351,88.5,59.3,31.7,22.0,17.0,14.5,23.7,5.3,9.7,2149,85.1
352,88.6,59.9,31.8,22.0,16.7,14.1,24.4,4.3,9.9,2127,85.2
353,89.6,60.9,32.7,22.3,16.8,13.7,23.5,4.6,10.3,2185,87.3
354,88.4,57.9,31.0,21.2,16.1,13.8,23.8,4.9,10.6,2170,87.4
355,88.4,57.8,31.0,21.1,16.0,13.7,23.5,4.1,10.5,2183,90.6
356,88.4,57.8,30.8,20.9,16.0,13.7,23.1,4.2,10.5,2255,90.1
357,88.3,57.7,30.6,20.7,15.6,13.4,22.9,3.8,10.1,2092,87.9
358,88.3,57.8,30.8,21.0,16.0,13.6,22.8,3.9,10.6,2187,86.4
359,88.4,58.0,30.9,21.0,16.0,13.8,23.0,3.7,10.7,2246,88.5
360,88.4,58.2,31.1,21.2,16.2,13.8,23.2,3.1,10.1,2239,88.6
361,100.0,100.0,100.0,100.0,93.71,55.27,28.07,8.31,13.6,1610,8.2
362,100.0,100.0,100.0,100.0,94.1,56.29,30.46,9.45,15.6,1582,7.78
363,100.0,100.0,100.0,100.0,95.83,60.4,29.61,11.0,16.3,1607,9.42
364,100.0,100.0,100.0,100.0,95.74,61.63,31.16,10.99,17.6,1599,9.79
365,100.0,100.0,100.0,100.0,94.82,59.07,32.46,12.43,16.0,1659,8.05
366,100.0,100.0,100.0,100.0,95.22,53.33,27.74,9.99,16.0,1591,9.2
367,100.0,100.0,100.0,100.0,95.33,54.51,29.18,10.31,17.1,1628,9.45
368,100.0,73.7,56.5,47.0,43.9,25.0,29.3,9.1,8.5,1376,34.8
369,100.0,76.1,59.9,49.3,45.5,23.7,30.8,10.3,8.1,1443,38.4
370,100.0,100.0,98.9,96.5,90.8,68.3,32.0,13.0,12.0,1707,3.2
371,100.0,100.0,100.0,91.8,54.7,31.2,34.0,20.0,16.4,1645,5.4
372,100.0,100.0,100.0,99.4,95.4,85.4,65.0,18.0,32.4,1375,10.0
373,100.0,100.0,100.0,99.6,97.3,89.9,54.0,18.0,27.6,1496,12.4
374,100.0,100.0,100.0,99.4,96.4,89.0,36.0,12.0,26.8,1523,9.4
375,100.0,100.0,100.0,99.4,92.4,80.9,54.0,17.0,24.9,1565,11.8
376,100.0,100.0,100.0,98.4,91.4,76.2,44.0,18.0,22.7,1551,10.9
377,100.0,100.0,99.8,97.0,99.6,69.9,36.0,12.0,21.7,1598,5.6
378,100.0,100.0,100.0,100.0,99.6,69.9,36.0,12.0,22.2,1512,11.2
379,100.0,100.0,99.8,97.8,91.5,43.8,25.0,10.0,16.2,1734,10.4
380,100.0,100.0,100.0,99.7,98.8,43.9,41.0,10.0,19.4,1580,9.9
381,100.0,100.0,100.0,99.7,98.6,95.5,51.0,23.0,29.1,1460,12.0
382,100.0,100.0,99.4,95.7,85.9,65.8,44.0,12.0,22.6,1608,16.0
383,100.0,100.0,100.0,99.8,99.1,94.8,59.0,24.0,27.0,1443,8.4
384,100.0,100.0,100.0,99.9,98.8,73.2,38.0,16.0,18.6,1614,18.4
385,100.0,100.0,99.1,93.8,81.0,38.8,26.0,10.0,16.2,1746,9.4
386,100.0,100.0,100.0,99.6,95.2,79.5,51.0,12.0,28.3,1507,7.2
387,100.0,100.0,100.0,99.9,98.9,72.0,45.0,15.0,20.8,1586,7.3
388,100.0,100.0,100.0,99.5,98.3,77.3,46.0,22.0,25.8,1494,12.6
389,100.0,100.0,100.0,99.9,99.7,97.8,54.0,13.0,27.8,1411,10.6
390,100.0,100.0,99.9,98.8,95.0,83.5,48.0,18.0,26.9,1465,12.3
391,100.0,100.0,100.0,99.9,98.0,91.5,51.0,10.0,26.8,1322,7.0
392,100.0,100.0,100.0,99.7,98.2,76.8,45.0,12.0,22.3,1503,18.0
393,100.0,100.0,100.0,99.8,98.4,88.4,51.0,12.0,25.2,1402,14.6
394,100.0,100.0,100.0,100.0,99.0,92.0,68.0,33.0,29.1,1289,6.2
395,100.0,100.0,100.0,99.9,99.9,93.6,52.0,16.0,29.8,1370,7.9
396,100.0,100.0,100.0,99.8,98.0,90.1,63.0,14.0,33.2,1288,6.7
397,100.0,100.0,99.6,94.6,91.2,86.8,53.0,18.0,29.3,1452,17.0
398,100.0,100.0,99.8,99.6,99.6,98.2,57.0,20.0,31.9,1353,12.5
399,100.0,100.0,99.2,87.7,54.7,40.3,32.0,5.0,14.6,1690,5.1
400,100.0,98.4,93.0,88.0,63.9,51.8,46.0,17.0,18.0,1677,11.8
401,100.0,100.0,100.0,99.7,98.5,96.2,63.0,28.0,26.7,1369,14.2
402,100.0,100.0,99.7,99.4,99.4,96.0,66.0,21.0,28.5,1286,9.9
403,100.0,100.0,99.9,99.2,98.1,95.8,60.0,18.0,32.7,1371,13.0
404,100.0,100.0,100.0,99.8,98.9,92.9,53.0,18.0,30.6,1380,17.3
405,100.0,100.0,100.0,98.8,93.3,84.0,54.0,15.0,32.9,1408,22.2
406,100.0,94.4,81.6,76.7,66.7,59.8,49.0,13.0,17.4,1445,2.9
407,100.0,100.0,99.9,99.3,98.0,89.7,49.0,22.0,27.3,1470,18.8
408,100.0,99.7,98.4,97.8,96.8,95.0,76.0,24.0,29.3,1364,8.3
409,100.0,100.0,99.9,99.5,98.6,96.3,63.0,27.0,34.4,1322,14.5
410,100.0,100.0,100.0,99.8,99.0,94.7,70.0,24.0,32.6,1286,7.3
411,100.0,100.0,100.0,99.9,99.4,99.2,81.0,28.0,38.0,1225,11.5
412,100.0,100.0,100.0,100.0,99.4,95.7,71.0,23.0,36.2,1240,14.3
413,100.0,100.0,100.0,99.9,98.6,96.4,76.0,28.0,31.0,1392,9.3
414,100.0,100.0,100.0,99.2,97.5,91.8,56.0,16.0,29.1,1384,15.7
415,100.0,100.0,98.6,95.2,83.8,67.9,45.0,14.0,27.5,1452,11.3
416,100.0,100.0,100.0,99.5,97.8,91.3,54.0,19.0,29.7,1409,15.3
417,100.0,100.0,100.0,100.0,99.7,93.9,56.0,20.0,37.0,1316,11.1
418,100.0,99.9,99.6,95.2,83.9,70.8,52.0,13.0,28.3,1507,7.6
419,100.0,100.0,100.0,100.0,98.0,87.6,52.0,14.0,31.0,1417,9.2
420,100.0,100.0,100.0,97.6,91.8,80.4,44.0,11.0,21.4,1586,16.9
421,100.0,100.0,100.0,98.2,95.3,87.8,50.0,7.0,27.1,1526,29.8
422,100.0,100.0,99.5,96.3,86.0,74.1,48.0,14.0,27.5,1534,8.7
423,100.0,100.0,100.0,99.7,97.1,85.7,60.0,27.0,22.2,1584,6.1
424,100.0,100.0,100.0,99.7,98.8,88.7,58.0,21.0,28.9,1533,17.3
425,100.0,100.0,100.0,99.9,99.5,95.5,64.0,11.0,35.7,1294,19.7
426,100.0,100.0,100.0,99.3,93.9,80.5,46.0,15.0,25.2,1618,25.8
427,100.0,100.0,100.0,99.2,96.6,84.6,50.0,16.0,24.8,1582,19.2
428,100.0,100.0,100.0,99.9,99.6,88.0,58.0,15.0,29.2,1474,16.7
429,100.0,99.87,99.68,98.52,73.75,35.99,31.1,14.4,14.7,1806,11.5
430,100.0,99.7,99.28,98.12,71.0,35.2,31.0,22.2,14.9,1780,18.5
431,100.0,100.0,99.85,99.57,90.12,60.48,25.3,15.6,16.0,1796,13.0
432,100.0,99.72,99.58,99.88,96.26,36.18,18.8,3.7,13.0,1913,15.5
433,100.0,99.91,99.75,99.33,87.64,38.2,26.5,17.8,15.7,1734,14.8
434,100.0,100.0,99.65,99.07,97.83,47.17,34.0,15.2,18.0,1683,20.4
435,100.0,100.0,99.79,98.93,92.77,42.74,23.6,11.4,15.4,1791,13.7
436,100.0,99.59,98.41,96.98,69.76,34.7,29.4,23.6,21.3,1643,11.4
437,100.0,100.0,99.93,99.74,93.31,42.43,32.1,25.6,22.1,1585,10.8
438,100.0,99.24,98.46,97.57,63.7,38.38,47.4,36.9,30.2,1431,21.5
439,100.0,99.13,96.76,92.72,62.8,36.15,48.2,37.6,30.0,1435,11.3
440,100.0,98.02,94.77,90.38,64.51,34.54,39.5,26.4,24.5,1654,17.9
441,100.0,96.57,92.38,87.32,60.64,31.55,47.8,37.4,25.6,1558,11.5
442,100.0,100.0,99.83,99.8,76.88,52.79,35.2,22.4,5.6,1699,18.1
443,100.0,100.0,99.92,99.91,99.39,35.54,25.1,11.4,11.2,1875,22.3
444,100.0,100.0,99.83,99.8,97.62,52.66,34.9,22.5,10.2,1904,51.5
445,100.0,100.0,99.92,99.91,99.43,36.41,25.0,12.6,11.7,2138,63.4
446,100.0,100.0,99.92,99.91,99.45,37.16,24.8,12.3,9.5,2133,73.0
447,100.0,100.0,100.0,100.0,99.8,26.6,21.0,9.0,9.3,2016,24.0
448,100.0,100.0,100.0,100.0,98.8,23.4,19.0,7.0,9.8,2013,28.7
449,100.0,100.0,100.0,100.0,99.6,26.9,23.0,9.0,11.6,1870,14.1
450,100.0,100.0,100.0,100.0,99.7,33.2,24.0,12.0,9.2,2012,22.1
451,100.0,100.0,100.0,100.0,99.9,25.3,21.0,7.0,11.9,1913,12.8
452,100.0,100.0,100.0,100.0,99.8,26.8,23.0,10.0,11.2,1842,10.7
453,100.0,100.0,100.0,100.0,98.8,24.2,20.0,9.0,9.4,1983,11.3
454,100.0,100.0,100.0,100.0,99.3,21.8,18.0,5.0,8.8,2027,28.6
455,100.0,100.0,100.0,100.0,98.5,19.6,21.0,10.0,10.7,1869,11.5
456,100.0,100.0,100.0,100.0,99.6,20.8,19.0,6.0,8.6,1991,29.0
457,100.0,100.0,100.0,100.0,98.1,22.9,19.0,11.0,89.9,2035,39.6
458,100.0,100.0,100.0,100.0,99.6,27.6,21.0,8.0,9.3,2012,36.1
459,100.0,100.0,100.0,100.0,99.9,34.6,25.0,13.0,30.0,1499,15.2
460,100.0,100.0,100.0,100.0,99.7,21.3,17.0,4.0,9.4,1988,31.1
461,100.0,100.0,100.0,100.0,99.9,30.8,21.0,5.0,10.5,1998,44.2
462,100.0,100.0,100.0,100.0,99.7,23.7,20.0,5.0,9.6,2054,38.8
463,100.0,100.0,100.0,100.0,99.4,25.2,22.0,12.0,11.8,1877,13.4
464,100.0,100.0,100.0,100.0,99.6,27.5,25.0,13.0,10.0,1986,39.9
465,100.0,100.0,100.0,100.0,99.9,24.8,20.0,5.0,11.7,1893,12.7
466,100.0,100.0,100.0,100.0,99.1,24.5,21.0,9.0,9.4,2004,34.1
467,100.0,100.0,100.0,100.0,99.5,21.6,18.0,4.0,10.9,1869,11.6
468,100.0,100.0,100.0,100.0,99.8,22.7,21.0,8.0,9.7,1979,45.1
469,100.0,100.0,100.0,100.0,99.6,21.1,18.0,5.0,8.3,2033,43.3
470,100.0,100.0,99.9,99.9,99.4,23.0,23.0,11.0,8.5,2188,40.0
471,100.0,100.0,100.0,100.0,99.1,25.8,18.0,3.0,8.2,1993,44.6
472,100.0,100.0,100.0,100.0,98.4,26.1,22.0,11.0,10.9,1912,17.0
473,100.0,100.0,100.0,100.0,99.1,25.5,22.0,7.0,12.0,1896,19.3
474,100.0,100.0,100.0,100.0,99.9,26.6,25.0,11.0,9.7,2005,46.5
475,100.0,100.0,100.0,100.0,99.7,26.1,20.0,4.0,9.5,2033,36.7
476,100.0,100.0,100.0,100.0,98.1,22.9,19.0,11.0,9.2,2017,32.4
477,100.0,100.0,100.0,99.9,98.9,94.6,77.0,30.0,38.2,1312,7.2
478,100.0,100.0,99.9,99.5,97.0,87.9,60.0,23.0,30.1,1396,10.2
479,100.0,100.0,100.0,99.9,97.5,83.1,49.0,20.0,27.4,1502,1.9
480,100.0,100.0,100.0,97.9,78.4,69.0,57.0,22.0,26.3,1530,2.1
481,100.0,99.9,99.3,97.7,81.4,56.5,42.0,13.0,23.2,1570,5.0
482,100.0,92.8,81.3,59.1,29.4,19.8,38.0,14.0,11.5,1910,38.0
483,99.0,93.4,88.8,77.7,43.8,24.8,39.0,12.0,14.6,1840,34.2
484,100.0,99.5,94.8,81.8,52.3,70.3,38.0,14.0,13.7,1861,18.8
485,96.5,75.3,66.5,53.9,18.6,8.7,24.0,7.0,12.1,1784,43.1
486,100.0,100.0,99.9,96.8,68.5,50.3,48.0,18.0,19.7,1652,18.8
487,100.0,100.0,99.8,99.0,81.6,70.3,57.0,21.0,26.3,1490,11.0
488,100.0,100.0,99.9,99.7,91.4,82.9,65.0,27.0,29.9,1449,7.3
489,100.0,99.9,98.3,96.5,85.4,69.0,54.0,20.0,24.0,1541,22.2
490,100.0,100.0,100.0,99.9,92.0,81.1,62.0,25.0,30.2,1408,12.3
491,100.0,100.0,100.0,98.3,34.0,19.5,43.0,19.0,14.9,1821,12.1
492,100.0,100.0,100.0,99.9,91.7,74.9,50.0,16.0,26.1,1488,11.2
493,100.0,100.0,100.0,99.9,88.6,66.6,43.0,14.0,23.6,1545,11.1
494,100.0,100.0,100.0,99.7,90.5,75.1,46.0,14.0,27.3,1462,16.8
495,100.0,100.0,100.0,99.6,91.0,75.0,46.0,15.0,27.3,1490,9.7
496,100.0,100.0,100.0,99.8,95.7,86.4,57.0,21.0,32.8,1395,7.5
497,100.0,100.0,100.0,99.6,94.9,85.1,51.0,20.0,29.6,1439,8.2
498,100.0,100.0,100.0,98.4,87.6,72.6,45.0,16.0,29.3,1396,14.1
499,100.0,100.0,100.0,100.0,84.9,43.3,34.1,11.4,13.6,1370,8.7
500,100.0,100.0,100.0,100.0,91.2,60.1,36.0,12.3,15.5,1576,12.5
501,100.0,100.0,100.0,100.0,87.9,52.4,34.6,10.9,15.1,1721,13.8
502,100.0,100.0,100.0,100.0,92.9,51.4,35.7,12.0,16.7,1727,20.0
503,100.0,97.4,88.7,83.9,74.3,48.2,31.6,11.4,16.8,1658,14.6
504,100.0,77.0,61.0,46.6,35.2,20.5,30.5,9.7,12.3,1890,51.5
505,100.0,87.2,80.2,71.6,62.6,40.6,31.8,10.2,14.0,1728,24.5
506,100.0,100.0,100.0,100.0,92.4,53.8,36.4,13.1,18.6,1670,7.7
507,100.0,97.0,80.5,70.7,65.8,41.9,32.6,10.2,12.4,1902,22.5
508,100.0,100.0,99.8,96.1,88.8,55.9,30.8,9.7,14.4,1725,21.0
509,100.0,99.2,94.4,85.7,81.2,56.8,27.3,9.6,14.8,1854,11.6
510,100.0,86.1,77.7,69.1,61.5,36.4,32.6,11.3,11.7,1729,19.5
511,95.6,86.6,60.7,45.3,38.9,17.8,28.4,9.2,10.4,1980,22.6
512,100.0,88.7,69.5,61.2,53.8,31.7,36.5,12.5,13.1,1695,12.6
513,100.0,100.0,100.0,98.9,91.8,46.8,35.7,9.8,14.1,1589,14.8
514,97.9,77.1,56.3,40.7,36.1,26.3,32.4,8.0,9.2,2009,29.7
515,100.0,83.7,61.6,48.4,41.5,26.7,34.2,13.0,9.8,1917,24.6
516,100.0,90.2,75.1,65.0,59.8,33.4,32.1,7.2,11.7,1877,21.4
517,99.2,83.6,51.2,36.9,32.2,23.7,45.2,18.6,10.2,1916,24.7
518,100.0,100.0,99.9,96.4,94.6,73.8,39.6,14.9,19.6,1563,12.1
519,99.0,86.6,66.9,45.7,36.7,25.1,31.9,11.3,13.6,1809,21.2
520,100.0,100.0,100.0,97.3,90.4,54.9,31.5,6.5,18.8,1507,5.5
521,100.0,100.0,100.0,99.5,93.7,50.7,30.2,8.4,17.2,1616,8.6
522,100.0,100.0,100.0,99.8,94.7,53.7,30.8,11.1,17.9,1551,7.3
523,100.0,100.0,100.0,99.7,95.3,53.2,33.2,12.4,18.4,1544,8.9
524,100.0,100.0,100.0,99.8,94.8,57.7,29.0,9.8,17.0,1553,6.5
525,100.0,100.0,100.0,99.8,96.0,55.4,29.2,9.6,17.2,1561,5.5
526,100.0,100.0,100.0,99.1,91.7,54.5,29.8,8.9,20.0,1521,8.3
527,100.0,100.0,97.8,92.7,85.5,57.7,29.7,9.1,19.4,1519,10.7
528,100.0,99.4,97.2,92.9,86.8,59.3,31.6,9.9,19.5,1523,10.1
529,100.0,99.5,6.7,91.2,85.4,56.0,30.9,11.1,20.7,1549,12.2
530,100.0,99.5,96.5,90.5,84.9,57.8,30.2,9.9,19.8,1537,10.5
531,100.0,99.5,96.8,92.0,85.7,56.9,34.0,13.3,19.1,1544,12.2
532,100.0,99.5,96.5,90.7,85.4,57.1,29.9,9.1,17.0,1503,11.5
533,100.0,99.4,96.5,91.7,85.6,57.3,29.1,9.9,18.9,1551,11.6
534,100.0,99.4,96.2,90.1,84.3,56.0,32.2,11.3,18.1,1585,9.5
535,99.4,88.7,70.0,57.8,53.2,39.0,33.2,12.2,15.2,1687,13.8
536,99.5,88.6,69.5,55.2,49.8,37.0,34.0,13.3,16.8,1644,17.1
537,80.5,58.1,40.3,27.6,23.3,15.0,33.8,14.1,9.6,2008,59.2
538,98.2,82.2,57.0,44.5,38.8,25.5,35.4,14.9,10.3,1949,49.2
539,97.8,81.8,57.3,44.7,39.0,28.3,35.6,13.1,10.6,1941,47.9
540,97.2,79.6,55.1,38.7,35.0,23.6,37.4,12.1,10.6,1972,45.9
541,91.0,61.0,41.4,25.8,22.4,16.2,37.9,14.6,9.0,2055,56.5
542,89.8,63.1,45.6,30.7,26.2,17.9,36.7,14.2,9.4,2011,59.4
543,93.3,72.6,51.8,37.4,32.4,24.9,36.5,14.5,10.2,1982,42.6
544,91.0,65.3,48.0,32.8,28.4,19.9,35.8,13.0,10.1,2004,47.9
545,94.5,71.3,53.5,41.9,36.3,15.8,27.6,7.9,10.2,2043,51.7
546,92.3,74.2,53.0,39.8,35.1,17.0,32.6,11.1,8.8,2014,61.8
547,90.0,73.7,54.5,38.8,33.4,19.8,26.0,7.0,9.3,2077,48.0
548,90.0,65.9,51.2,37.9,33.2,13.8,26.5,7.4,9.1,2014,77.4
549,92.7,68.0,47.2,27.1,24.4,18.8,37.9,14.1,8.9,2116,108.4
550,87.4,67.2,44.0,27.1,23.9,15.6,35.2,13.1,9.4,2111,107.5
551,90.7,68.8,48.0,28.8,24.9,15.9,35.6,13.0,9.0,2102,91.8
552,82.0,55.0,35.9,22.0,19.9,14.3,42.5,18.2,7.2,2165,82.6
553,99.4,80.1,53.1,35.5,31.0,21.5,36.8,15.0,7.6,2133,117.8
554,91.9,67.8,43.9,28.1,24.9,17.6,36.9,12.5,7.9,2094,105.1
555,92.2,72.7,48.4,34.2,30.0,20.4,36.3,13.7,8.2,2061,94.0
556,100.0,100.0,100.0,100.0,98.9,86.4,49.0,20.0,28.9,1527,13.5
557,100.0,99.8,99.8,99.6,98.7,92.7,53.0,20.0,30.0,1499,15.2
558,100.0,100.0,100.0,99.8,98.8,94.6,50.0,26.0,32.5,1419,6.3
559,100.0,100.0,100.0,99.8,98.8,94.6,50.0,26.0,29.7,1505,14.3
560,100.0,100.0,100.0,99.9,98.9,95.3,53.0,21.0,30.0,1468,15.6
561,100.0,100.0,99.9,99.7,98.0,93.7,54.0,22.0,27.9,1546,19.6
562,100.0,100.0,100.0,99.7,98.6,95.0,53.0,24.0,26.6,1587,14.0
563,100.0,100.0,100.0,99.9,99.2,94.5,63.0,30.0,26.7,1592,
564,100.0,98.9,98.7,98.7,98.3,95.2,70.0,33.0,30.0,1555,14.2
565,100.0,100.0,100.0,99.9,99.5,96.2,62.0,29.0,30.8,1500,13.1
566,100.0,100.0,100.0,99.9,99.3,95.8,66.0,33.0,32.7,1432,11.2
567,100.0,100.0,100.0,99.9,99.6,95.7,71.0,38.0,29.7,1488,15.8
568,100.0,100.0,100.0,99.8,99.3,95.5,56.0,21.0,32.3,1399,7.4
569,100.0,100.0,100.0,99.8,99.3,95.5,56.0,21.0,30.7,1488,14.4
570,100.0,99.7,99.7,99.6,99.2,96.1,70.0,37.0,30.4,1494,13.7
571,100.0,100.0,100.0,99.8,99.2,95.4,54.0,15.0,30.4,1500,15.2
572,100.0,100.0,99.9,99.8,99.3,96.0,82.0,42.0,31.3,1442,9.3
573,100.0,100.0,99.9,99.8,99.3,96.0,82.0,42.0,30.5,1527,15.4
574,100.0,100.0,100.0,99.9,99.4,96.0,58.0,18.0,30.0,1517,16.5
575,100.0,100.0,100.0,99.8,99.1,95.7,65.0,31.0,30.1,1492,14.0
576,100.0,100.0,100.0,99.9,99.4,94.6,56.0,25.0,30.9,1517,16.3
577,100.0,100.0,100.0,99.9,99.5,94.7,61.0,29.0,29.9,1505,14.0
578,100.0,100.0,100.0,99.8,97.7,88.9,49.0,20.0,30.5,1505,15.5
579,100.0,100.0,100.0,99.8,99.4,96.1,47.0,13.0,31.4,1396,7.2
580,100.0,100.0,100.0,99.8,99.4,96.1,47.0,13.0,30.0,1514,16.5
581,100.0,100.0,100.0,99.9,98.2,86.2,50.0,24.0,30.6,1509,16.3
582,100.0,100.0,100.0,99.9,98.5,91.8,53.0,24.0,29.1,1498,15.6
583,100.0,100.0,100.0,99.8,98.5,90.6,56.0,28.0,30.6,1500,15.1
584,100.0,100.0,100.0,99.9,98.8,86.1,54.0,23.0,29.9,1488,12.2
585,100.0,100.0,100.0,100.0,98.9,86.4,49.0,20.0,29.8,1518,15.3
586,100.0,100.0,100.0,100.0,98.4,84.7,48.0,22.0,28.7,1512,13.7
587,100.0,100.0,100.0,99.9,99.0,95.3,52.0,22.0,30.7,1461,7.4
588,100.0,100.0,100.0,99.7,98.5,95.4,64.0,28.0,29.3,1491,15.5
589,100.0,100.0,100.0,99.9,99.3,94.4,57.0,24.0,31.5,1432,7.9
590,100.0,100.0,99.39,98.48,89.06,49.99,29.0,9.0,12.1,1815,14.0
591,100.0,100.0,84.82,74.77,62.74,40.19,33.0,11.0,16.5,1729,20.0
592,100.0,95.22,95.98,94.45,72.86,36.65,30.0,9.0,16.5,1660,9.0
593,100.0,98.3,90.7,83.41,73.01,44.72,36.0,15.0,16.2,1718,7.0
594,100.0,99.33,92.99,88.84,83.58,57.63,35.0,13.0,20.2,1605,10.5
595,100.0,100.0,100.0,99.12,77.31,35.04,31.0,12.0,10.7,1907,23.5
596,100.0,100.0,99.08,97.5,93.78,57.99,38.0,16.0,18.0,1693,11.0
597,100.0,100.0,96.21,93.92,86.27,49.44,34.0,12.0,19.8,1629,3.0
598,100.0,100.0,98.16,96.75,90.54,39.64,28.0,11.0,15.4,1757,6.0
599,100.0,100.0,94.33,91.22,81.52,44.63,33.0,13.0,16.6,1714,5.5
600,100.0,100.0,95.45,92.04,78.95,44.65,38.0,16.0,18.8,1664,5.0
601,100.0,99.6,97.86,93.91,83.39,48.05,34.0,17.0,16.3,1728,8.7
602,95.7,72.52,49.07,32.01,20.02,12.11,37.0,13.0,12.7,1842,30.0
603,97.61,65.4,45.43,32.08,24.46,16.31,35.0,12.0,9.0,2047,73.5
604,100.0,73.58,48.19,36.83,31.29,23.57,41.0,14.0,14.8,1763,26.5
605,100.0,75.21,46.49,33.01,26.26,20.89,42.0,14.0,14.6,1749,41.0
606,99.29,73.42,45.21,30.99,26.59,19.17,32.0,11.0,12.7,1835,39.0
607,100.0,70.32,49.13,35.02,29.55,17.55,29.0,10.0,10.1,1965,67.0
608,100.0,73.87,55.6,40.63,35.15,18.89,28.0,9.0,10.5,1967,34.0
609,96.89,72.84,48.56,35.55,27.78,15.82,33.0,12.0,10.0,2031,87.0
610,100.0,66.54,43.56,34.16,31.13,23.5,40.0,13.0,13.8,1853,48.0
611,97.13,53.56,35.97,27.92,25.43,19.72,37.0,11.0,12.8,1925,70.0
612,95.83,68.69,57.7,47.73,35.78,20.55,28.0,12.0,7.7,2107,30.0
613,95.46,83.8,64.04,51.58,42.23,27.7,30.0,12.0,13.4,1861,14.0
614,100.0,79.34,64.36,53.1,42.53,24.54,22.0,8.0,7.2,2914,56.5
615,100.0,88.96,68.61,66.88,57.57,38.29,35.0,13.0,16.9,1783,11.0
616,97.67,85.0,74.61,62.47,50.58,33.46,26.0,9.0,8.4,2074,26.0
