No. da Amostra,25.4mm,9.5mm,4.8mm,2.0mm,0.42mm,0.076mm,LL,IP,Umidade Ótima,Densidade máxima,CBR,coluna_13
287,100.0,100.0,100.0,100.0,92.0,77.6,40.6,14.3,22.3,1640.0,7.3,
288,100.0,100.0,100.0,100.0,94.4,75.0,39.6,16.7,15.1,1668.0,7.7,
289,100.0,100.0,100.0,100.0,97.6,87.4,43.9,13.6,21.7,1537.0,5.0,
290,100.0,100.0,100.0,100.0,95.5,87.1,43.5,11.0,23.7,1593.0,4.5,
291,100.0,100.0,100.0,100.0,92.5,78.9,42.7,13.2,21.2,1618.0,6.9,
292,100.0,100.0,100.0,100.0,96.6,87.4,45.7,15.0,23.0,1571.0,4.4,
293,100.0,84.8,61.9,43.7,36.0,31.5,38.5,12.5,17.1,1831.0,14.7,
294,100.0,95.8,80.1,66.6,50.9,44.4,36.9,8.7,15.6,1870.0,19.5,
295,100.0,100.0,100.0,100.0,93.7,48.0,33.7,13.3,15.0,1739.0,7.1,
296,100.0,82.0,64.9,49.9,37.1,31.4,32.7,8.2,12.8,1905.0,24.8,
297,100.0,100.0,100.0,100.0,94.8,79.5,44.7,13.6,21.1,1607.0,7.5,
298,100.0,100.0,86.7,78.4,69.0,61.4,42.6,13.9,19.3,1702.0,14.6,
299,100.0,100.0,88.9,81.2,71.1,64.4,42.4,13.4,20.9,1644.0,9.5,
300,100.0,100.0,100.0,100.0,93.4,76.8,39.6,16.7,18.6,1675.0,7.1,
301,100.0,100.0,100.0,100.0,93.8,77.5,40.4,16.8,19.6,1673.0,7.1,
302,100.0,100.0,100.0,100.0,94.3,76.7,38.0,16.6,18.1,1672.0,7.8,
303,100.0,100.0,100.0,100.0,94.1,77.3,39.8,17.4,18.6,1644.0,7.9,
304,100.0,100.0,100.0,100.0,94.7,25.1,41.5,17.6,17.9,1653.0,7.6,
305,100.0,100.0,100.0,100.0,97.5,38.8,37.9,13.5,14.0,1702.0,10.8,
306,100.0,100.0,100.0,100.0,96.6,40.9,39.7,14.0,15.4,1733.0,11.3,
307,100.0,100.0,100.0,100.0,94.7,65.5,35.9,13.5,14.8,1707.0,11.3,
308,100.0,100.0,100.0,100.0,93.8,64.1,38.0,13.9,14.8,1726.0,12.1,
309,100.0,100.0,100.0,100.0,96.5,37.8,37.5,13.3,14.6,1783.0,11.7,
310,100.0,100.0,100.0,100.0,95.8,41.0,39.4,15.4,14.0,1625.0,9.1,
311,100.0,100.0,100.0,100.0,95.8,81.4,41.6,14.4,19.1,1605.0,6.6,
312,100.0,98.0,88.5,69.2,59.2,29.5,33.5,10.7,11.8,1976.0,22.5,
313,100.0,100.0,100.0,100.0,94.7,78.4,40.9,16.8,20.1,1689.0,7.0,
314,100.0,100.0,100.0,100.0,95.5,78.4,42.5,16.4,20.2,1666.0,6.5,
315,100.0,95.1,82.5,71.6,57.9,48.1,36.8,13.2,14.2,1842.0,18.5,
316,100.0,94.4,82.6,71.5,56.0,47.2,33.5,11.3,14.0,1865.0,18.5,
317,100.0,100.0,100.0,100.0,96.5,80.7,42.7,18.5,18.1,1656.0,6.1,
318,100.0,96.2,81.8,69.4,54.3,46.2,40.9,16.6,14.7,1766.0,18.2,
319,100.0,100.0,100.0,100.0,96.4,79.0,39.7,17.3,18.5,1679.0,8.2,
320,100.0,100.0,100.0,100.0,94.8,77.8,40.9,16.8,17.3,1662.0,8.6,
321,100.0,100.0,100.0,100.0,95.2,77.8,38.6,17.6,18.6,1667.0,8.5,
322,100.0,100.0,100.0,100.0,95.0,77.9,40.5,15.9,19.5,1672.0,8.1,
323,100.0,100.0,100.0,100.0,95.5,78.4,40.7,16.7,19.9,1661.0,8.1,
324,100.0,100.0,100.0,100.0,95.4,78.0,39.9,16.8,18.3,1642.0,8.6,
325,100.0,100.0,100.0,100.0,95.6,78.6,38.7,17.1,17.6,1647.0,8.0,
326,100.0,100.0,100.0,100.0,94.4,77.0,40.6,16.6,17.8,1656.0,9.3,
327,100.0,96.6,82.4,69.2,54.9,47.7,38.7,16.3,14.2,1877.0,21.0,
328,100.0,100.0,100.0,100.0,97.2,85.9,41.6,11.9,22.4,1589.0,4.7,
329,100.0,100.0,100.0,100.0,93.7,78.0,39.7,16.9,17.9,1676.0,8.1,
330,100.0,100.0,100.0,100.0,96.4,83.9,45.8,13.7,21.5,1604.0,5.6,
331,100.0,100.0,88.4,80.8,73.5,51.9,37.6,13.7,15.9,1682.0,9.9,
332,100.0,100.0,89.1,81.9,76.1,54.6,36.6,13.6,15.6,1667.0,9.4,
333,100.0,100.0,90.2,82.9,74.3,54.0,36.2,14.0,15.4,1674.0,9.6,
334,100.0,100.0,86.3,77.9,68.9,49.9,37.6,13.6,15.3,1705.0,10.6,
335,100.0,100.0,89.1,81.7,73.1,53.1,36.7,14.3,16.4,1678.0,9.5,
336,89.8,60.8,32.6,22.2,16.7,14.0,24.8,4.7,10.3,2091.0,46.6,
337,88.7,59.9,32.2,21.3,16.5,13.8,24.8,5.1,9.6,2090.0,48.5,
338,88.5,58.3,30.5,21.0,16.2,13.6,24.6,5.3,9.7,2108.0,46.7,
339,89.1,59.7,31.2,21.1,15.5,13.1,24.6,4.6,10.5,2080.0,44.8,
340,89.1,59.3,31.0,20.7,15.9,13.7,23.9,5.6,9.5,2141.0,49.1,
341,85.5,59.3,31.7,22.0,17.0,14.5,23.7,5.3,9.9,2091.0,48.8,
342,88.6,59.9,31.8,22.0,16.7,14.1,24.4,4.3,10.0,2110.0,47.2,
343,89.6,60.9,32.7,22.3,16.8,13.7,23.5,4.6,9.9,2107.0,48.7,
344,88.4,57.9,31.0,21.2,16.1,13.8,23.8,4.9,9.9,2112.0,48.7,
345,88.4,57.8,31.0,21.1,16.0,13.7,23.5,4.1,9.7,2125.0,50.3,
346,88.4,57.8,30.8,20.9,16.0,13.7,23.1,4.2,9.6,2120.0,52.2,
347,88.3,57.7,30.6,20.7,15.6,13.4,22.9,3.8,9.6,2142.0,53.0,
348,88.3,57.8,30.8,21.0,16.0,13.6,22.8,3.9,9.6,2178.0,54.9,
349,88.4,58.0,30.9,21.0,16.0,13.8,23.0,3.7,10.2,2110.0,52.2,
350,88.4,58.2,31.1,21.2,16.2,13.8,23.2,3.1,9.6,2198.0,52.7,
351,89.8,60.8,32.6,22.2,16.7,14.0,22.8,4.5,9.1,2551.0,83.0,
352,88.7,59.9,32.2,21.3,16.5,13.8,23.8,4.1,10.5,2175.0,85.6,
353,88.5,58.3,30.5,21.0,16.2,13.6,24.6,5.3,9.4,2168.0,86.9,
354,89.1,59.7,31.2,21.1,15.5,13.1,24.6,4.6,8.9,2170.0,88.3,
355,89.1,59.3,31.0,20.7,15.9,13.7,23.9,5.6,9.5,2162.0,84.6,
356,88.5,59.3,31.7,22.0,17.0,14.5,23.7,5.3,9.7,2149.0,85.1,
357,88.6,59.9,31.8,22.0,16.7,14.1,24.4,4.3,9.9,2127.0,85.2,
358,89.6,60.9,32.7,22.3,16.8,13.7,23.5,4.6,10.3,2185.0,87.3,
359,88.4,57.9,31.0,21.2,16.1,13.8,23.8,4.9,10.6,2170.0,87.4,
360,88.4,57.8,31.0,21.1,16.0,13.7,23.5,4.1,10.5,2183.0,90.6,
361,88.4,57.8,30.8,20.9,16.0,13.7,23.1,4.2,10.5,2255.0,90.1,
362,88.3,57.7,30.6,20.7,15.6,13.4,22.9,3.8,10.1,2092.0,87.9,
363,88.3,57.8,30.8,21.0,16.0,13.6,22.8,3.9,10.6,2187.0,86.4,
364,88.4,58.0,30.9,21.0,16.0,13.8,23.0,3.7,10.7,2246.0,88.5,
365,88.4,58.2,31.1,21.2,16.2,13.8,23.2,3.1,10.1,2239.0,88.6,
366,100.0,100.0,100.0,100.0,93.71,55.27,28.07,8.31,13.6,1610.0,8.2,
367,100.0,100.0,100.0,100.0,94.1,56.29,30.46,9.45,15.6,1582.0,7.78,
368,100.0,100.0,100.0,100.0,95.83,60.4,29.61,11.0,16.3,1607.0,9.42,
369,100.0,100.0,100.0,100.0,95.74,61.63,31.16,10.99,17.6,1599.0,9.79,
370,100.0,100.0,100.0,100.0,94.82,59.07,32.46,12.43,16.0,1659.0,8.05,
371,100.0,100.0,100.0,100.0,95.22,53.33,27.74,9.99,16.0,1591.0,9.2,
372,100.0,100.0,100.0,100.0,95.33,54.51,29.18,10.31,17.1,1628.0,9.45,
373,100.0,73.7,56.5,47.0,43.9,25.0,29.3,9.1,8.5,1376.0,34.8,
374,100.0,76.1,59.9,49.3,45.5,23.7,30.8,10.3,8.1,1443.0,38.4,
375,100.0,100.0,98.9,96.5,90.8,68.3,32.0,13.0,12.0,1707.0,3.2,
376,100.0,100.0,100.0,91.8,54.7,31.2,34.0,20.0,16.4,1645.0,5.4,
377,100.0,100.0,100.0,99.4,95.4,85.4,65.0,18.0,32.4,1375.0,10.0,
378,100.0,100.0,100.0,99.6,97.3,89.9,54.0,18.0,27.6,1496.0,12.4,
379,100.0,100.0,100.0,99.4,96.4,89.0,36.0,12.0,26.8,1523.0,9.4,
380,100.0,100.0,100.0,99.4,92.4,80.9,54.0,17.0,24.9,1565.0,11.8,
381,100.0,100.0,100.0,98.4,91.4,76.2,44.0,18.0,22.7,1551.0,10.9,
382,100.0,100.0,99.8,97.0,99.6,69.9,36.0,12.0,21.7,1598.0,5.6,
383,100.0,100.0,100.0,100.0,99.6,69.9,36.0,12.0,22.2,1512.0,11.2,
384,100.0,100.0,99.8,97.8,91.5,43.8,25.0,10.0,16.2,1734.0,10.4,
385,100.0,100.0,100.0,99.7,98.8,43.9,41.0,10.0,19.4,1580.0,9.9,
386,100.0,100.0,100.0,99.7,98.6,95.5,51.0,23.0,29.1,1460.0,12.0,
387,100.0,100.0,99.4,95.7,85.9,65.8,44.0,12.0,22.6,1608.0,16.0,
388,100.0,100.0,100.0,99.8,99.1,94.8,59.0,24.0,27.0,1443.0,8.4,
389,100.0,100.0,100.0,99.9,98.8,73.2,38.0,16.0,18.6,1614.0,18.4,
390,100.0,100.0,99.1,93.8,81.0,38.8,26.0,10.0,16.2,1746.0,9.4,
391,100.0,100.0,100.0,99.6,95.2,79.5,51.0,12.0,28.3,1507.0,7.2,
392,100.0,100.0,100.0,99.9,98.9,72.0,45.0,15.0,20.8,1586.0,7.3,
393,100.0,100.0,100.0,99.5,98.3,77.3,46.0,22.0,25.8,1494.0,12.6,
394,100.0,100.0,100.0,99.9,99.7,97.8,54.0,13.0,27.8,1411.0,10.6,
395,100.0,100.0,99.9,98.8,95.0,83.5,48.0,18.0,26.9,1465.0,12.3,
396,100.0,100.0,100.0,99.9,98.0,91.5,51.0,10.0,26.8,1322.0,7.0,
397,100.0,100.0,100.0,99.7,98.2,76.8,45.0,12.0,22.3,1503.0,18.0,
398,100.0,100.0,100.0,99.8,98.4,88.4,51.0,12.0,25.2,1402.0,14.6,
399,100.0,100.0,100.0,100.0,99.0,92.0,68.0,33.0,29.1,1289.0,6.2,
400,100.0,100.0,100.0,99.9,99.9,93.6,52.0,16.0,29.8,1370.0,7.9,
401,100.0,100.0,100.0,99.8,98.0,90.1,63.0,14.0,33.2,1288.0,6.7,
402,100.0,100.0,99.6,94.6,91.2,86.8,53.0,18.0,29.3,1452.0,17.0,
403,100.0,100.0,99.8,99.6,99.6,98.2,57.0,20.0,31.9,1353.0,12.5,
404,100.0,100.0,99.2,87.7,54.7,40.3,32.0,5.0,14.6,1690.0,5.1,
405,100.0,98.4,93.0,88.0,63.9,51.8,46.0,17.0,18.0,1677.0,11.8,
406,100.0,100.0,100.0,99.7,98.5,96.2,63.0,28.0,26.7,1369.0,14.2,
407,100.0,100.0,99.7,99.4,99.4,96.0,66.0,21.0,28.5,1286.0,9.9,
408,100.0,100.0,99.9,99.2,98.1,95.8,60.0,18.0,32.7,1371.0,13.0,
409,100.0,100.0,100.0,99.8,98.9,92.9,53.0,18.0,30.6,1380.0,17.3,
410,100.0,100.0,100.0,98.8,93.3,84.0,54.0,15.0,32.9,1408.0,22.2,
411,100.0,94.4,81.6,76.7,66.7,59.8,49.0,13.0,17.4,1445.0,2.9,
412,100.0,100.0,99.9,99.3,98.0,89.7,49.0,22.0,27.3,1470.0,18.8,
413,100.0,99.7,98.4,97.8,96.8,95.0,76.0,24.0,29.3,1364.0,8.3,
414,100.0,100.0,99.9,99.5,98.6,96.3,63.0,27.0,34.4,1322.0,14.5,
415,100.0,100.0,100.0,99.8,99.0,94.7,70.0,24.0,32.6,1286.0,7.3,
416,100.0,100.0,100.0,99.9,99.4,99.2,81.0,28.0,38.0,1225.0,11.5,
417,100.0,100.0,100.0,100.0,99.4,95.7,71.0,23.0,36.2,1240.0,14.3,
418,100.0,100.0,100.0,99.9,98.6,96.4,76.0,28.0,31.0,1392.0,9.3,
419,100.0,100.0,100.0,99.2,97.5,91.8,56.0,16.0,29.1,1384.0,15.7,
420,100.0,100.0,98.6,95.2,83.8,67.9,45.0,14.0,27.5,1452.0,11.3,
421,100.0,100.0,100.0,99.5,97.8,91.3,54.0,19.0,29.7,1409.0,15.3,
422,100.0,100.0,100.0,100.0,99.7,93.9,56.0,20.0,37.0,1316.0,11.1,
423,100.0,99.9,99.6,95.2,83.9,70.8,52.0,13.0,28.3,1507.0,7.6,
424,100.0,100.0,100.0,100.0,98.0,87.6,52.0,14.0,31.0,1417.0,9.2,
425,100.0,100.0,100.0,97.6,91.8,80.4,44.0,11.0,21.4,1586.0,16.9,
426,100.0,100.0,100.0,98.2,95.3,87.8,50.0,7.0,27.1,1526.0,29.8,
427,100.0,100.0,99.5,96.3,86.0,74.1,48.0,14.0,27.5,1534.0,8.7,
428,100.0,100.0,100.0,99.7,97.1,85.7,60.0,27.0,22.2,1584.0,6.1,
429,100.0,100.0,100.0,99.7,98.8,88.7,58.0,21.0,28.9,1533.0,17.3,
430,100.0,100.0,100.0,99.9,99.5,95.5,64.0,11.0,35.7,1294.0,19.7,
431,100.0,100.0,100.0,99.3,93.9,80.5,46.0,15.0,25.2,1618.0,25.8,
432,100.0,100.0,100.0,99.2,96.6,84.6,50.0,16.0,24.8,1582.0,19.2,
433,100.0,100.0,100.0,99.9,99.6,88.0,58.0,15.0,29.2,1474.0,16.7,
434,100.0,99.87,99.68,98.52,73.75,35.99,31.1,14.4,14.7,1806.0,11.5,
435,100.0,99.7,99.28,98.12,71.0,35.2,31.0,22.2,14.9,1780.0,18.5,
436,100.0,100.0,99.85,99.57,90.12,60.48,25.3,15.6,16.0,1796.0,13.0,
437,100.0,99.72,99.58,99.88,96.26,36.18,18.8,3.7,13.0,1913.0,15.5,
438,100.0,99.91,99.75,99.33,87.64,38.2,26.5,17.8,15.7,1734.0,14.8,
439,100.0,100.0,99.65,99.07,97.83,47.17,34.0,15.2,18.0,1683.0,20.4,
440,100.0,100.0,99.79,98.93,92.77,42.74,23.6,11.4,15.4,1791.0,13.7,
441,100.0,99.59,98.41,96.98,69.76,34.7,29.4,23.6,21.3,1643.0,11.4,
442,100.0,100.0,99.93,99.74,93.31,42.43,32.1,25.6,22.1,1585.0,10.8,
443,100.0,99.24,98.46,97.57,63.7,38.38,47.4,36.9,30.2,1431.0,21.5,
444,100.0,99.13,96.76,92.72,62.8,36.15,48.2,37.6,30.0,1435.0,11.3,
445,100.0,98.02,94.77,90.38,64.51,34.54,39.5,26.4,24.5,1654.0,17.9,
446,100.0,96.57,92.38,87.32,60.64,31.55,47.8,37.4,25.6,1558.0,11.5,
447,100.0,100.0,99.83,99.8,76.88,52.79,35.2,22.4,5.6,1699.0,18.1,
448,100.0,100.0,99.92,99.91,99.39,35.54,25.1,11.4,11.2,1875.0,22.3,
449,100.0,100.0,99.83,99.8,97.62,52.66,34.9,22.5,10.2,1904.0,51.5,
450,100.0,100.0,99.92,99.91,99.43,36.41,25.0,12.6,11.7,2138.0,63.4,
451,100.0,100.0,99.92,99.91,99.45,37.16,24.8,12.3,9.5,2133.0,73.0,
452,100.0,100.0,100.0,100.0,99.8,26.6,21.0,9.0,9.3,2016.0,24.0,
453,100.0,100.0,100.0,100.0,98.8,23.4,19.0,7.0,9.8,2013.0,28.7,
454,100.0,100.0,100.0,100.0,99.6,26.9,23.0,9.0,11.6,1870.0,14.1,
455,100.0,100.0,100.0,100.0,99.7,33.2,24.0,12.0,9.2,2012.0,22.1,
456,100.0,100.0,100.0,100.0,99.9,25.3,21.0,7.0,11.9,1913.0,12.8,
457,100.0,100.0,100.0,100.0,99.8,26.8,23.0,10.0,11.2,1842.0,10.7,
458,100.0,100.0,100.0,100.0,98.8,24.2,20.0,9.0,9.4,1983.0,11.3,
459,100.0,100.0,100.0,100.0,99.3,21.8,18.0,5.0,8.8,2027.0,28.6,
460,100.0,100.0,100.0,100.0,98.5,19.6,21.0,10.0,10.7,1869.0,11.5,
461,100.0,100.0,100.0,100.0,99.6,20.8,19.0,6.0,8.6,1991.0,29.0,
462,100.0,100.0,100.0,100.0,98.1,22.9,19.0,11.0,89.9,2035.0,39.6,
463,100.0,100.0,100.0,100.0,99.6,27.6,21.0,8.0,9.3,2012.0,36.1,
464,100.0,100.0,100.0,100.0,99.9,34.6,25.0,13.0,30.0,1499.0,15.2,
465,100.0,100.0,100.0,100.0,99.7,21.3,17.0,4.0,9.4,1988.0,31.1,
466,100.0,100.0,100.0,100.0,99.9,30.8,21.0,5.0,10.5,1998.0,44.2,
467,100.0,100.0,100.0,100.0,99.7,23.7,20.0,5.0,9.6,2054.0,38.8,
468,100.0,100.0,100.0,100.0,99.4,25.2,22.0,12.0,11.8,1877.0,13.4,
469,100.0,100.0,100.0,100.0,99.6,27.5,25.0,13.0,10.0,1986.0,39.9,
470,100.0,100.0,100.0,100.0,99.9,24.8,20.0,5.0,11.7,1893.0,12.7,
471,100.0,100.0,100.0,100.0,99.1,24.5,21.0,9.0,9.4,2004.0,34.1,
472,100.0,100.0,100.0,100.0,99.5,21.6,18.0,4.0,10.9,1869.0,11.6,
473,100.0,100.0,100.0,100.0,99.8,22.7,21.0,8.0,9.7,1979.0,45.1,
474,100.0,100.0,100.0,100.0,99.6,21.1,18.0,5.0,8.3,2033.0,43.3,
475,100.0,100.0,99.9,99.9,99.4,23.0,23.0,11.0,8.5,2188.0,40.0,
476,100.0,100.0,100.0,100.0,99.1,25.8,18.0,3.0,8.2,1993.0,44.6,
477,100.0,100.0,100.0,100.0,98.4,26.1,22.0,11.0,10.9,1912.0,17.0,
478,100.0,100.0,100.0,100.0,99.1,25.5,22.0,7.0,12.0,1896.0,19.3,
479,100.0,100.0,100.0,100.0,99.9,26.6,25.0,11.0,9.7,2005.0,46.5,
480,100.0,100.0,100.0,100.0,99.7,26.1,20.0,4.0,9.5,2033.0,36.7,
481,100.0,100.0,100.0,100.0,98.1,22.9,19.0,11.0,9.2,2017.0,32.4,
482,100.0,100.0,100.0,99.9,98.9,94.6,77.0,30.0,38.2,1312.0,7.2,
483,100.0,100.0,99.9,99.5,97.0,87.9,60.0,23.0,30.1,1396.0,10.2,
484,100.0,100.0,100.0,99.9,97.5,83.1,49.0,20.0,27.4,1502.0,1.9,
485,100.0,100.0,100.0,97.9,78.4,69.0,57.0,22.0,26.3,1530.0,2.1,
486,100.0,99.9,99.3,97.7,81.4,56.5,42.0,13.0,23.2,1570.0,5.0,
487,100.0,92.8,81.3,59.1,29.4,19.8,38.0,14.0,11.5,1910.0,38.0,
488,99.0,93.4,88.8,77.7,43.8,24.8,39.0,12.0,14.6,1840.0,34.2,
489,100.0,99.5,94.8,81.8,52.3,70.3,38.0,14.0,13.7,1861.0,18.8,
490,96.5,75.3,66.5,53.9,18.6,8.7,24.0,7.0,12.1,1784.0,43.1,
491,100.0,100.0,99.9,96.8,68.5,50.3,48.0,18.0,19.7,1652.0,18.8,
492,100.0,100.0,99.8,99.0,81.6,70.3,57.0,21.0,26.3,1490.0,11.0,
493,100.0,100.0,99.9,99.7,91.4,82.9,65.0,27.0,29.9,1449.0,7.3,
494,100.0,99.9,98.3,96.5,85.4,69.0,54.0,20.0,24.0,1541.0,22.2,
495,100.0,100.0,100.0,99.9,92.0,81.1,62.0,25.0,30.2,1408.0,12.3,
496,100.0,100.0,100.0,98.3,34.0,19.5,43.0,19.0,14.9,1821.0,12.1,
497,100.0,100.0,100.0,99.9,91.7,74.9,50.0,16.0,26.1,1488.0,11.2,
498,100.0,100.0,100.0,99.9,88.6,66.6,43.0,14.0,23.6,1545.0,11.1,
499,100.0,100.0,100.0,99.7,90.5,75.1,46.0,14.0,27.3,1462.0,16.8,
500,100.0,100.0,100.0,99.6,91.0,75.0,46.0,15.0,27.3,1490.0,9.7,
501,100.0,100.0,100.0,99.8,95.7,86.4,57.0,21.0,32.8,1395.0,7.5,
502,100.0,100.0,100.0,99.6,94.9,85.1,51.0,20.0,29.6,1439.0,8.2,
503,100.0,100.0,100.0,98.4,87.6,72.6,45.0,16.0,29.3,1396.0,14.1,
504,100.0,100.0,100.0,100.0,84.9,43.3,34.1,11.4,13.6,1370.0,8.7,
505,100.0,100.0,100.0,100.0,91.2,60.1,36.0,12.3,15.5,1576.0,12.5,
506,100.0,100.0,100.0,100.0,87.9,52.4,34.6,10.9,15.1,1721.0,13.8,
507,100.0,100.0,100.0,100.0,92.9,51.4,35.7,12.0,16.7,1727.0,20.0,
508,100.0,97.4,88.7,83.9,74.3,48.2,31.6,11.4,16.8,1658.0,14.6,
509,100.0,77.0,61.0,46.6,35.2,20.5,30.5,9.7,12.3,1890.0,51.5,
510,100.0,87.2,80.2,71.6,62.6,40.6,31.8,10.2,14.0,1728.0,24.5,100.0
511,100.0,100.0,100.0,100.0,92.4,53.8,36.4,13.1,18.6,1670.0,7.7,
512,100.0,97.0,80.5,70.7,65.8,41.9,32.6,10.2,12.4,1902.0,22.5,
513,100.0,100.0,99.8,96.1,88.8,55.9,30.8,9.7,14.4,1725.0,21.0,
514,100.0,99.2,94.4,85.7,81.2,56.8,27.3,9.6,14.8,1854.0,11.6,
515,100.0,86.1,77.7,69.1,61.5,36.4,32.6,11.3,11.7,1729.0,19.5,
516,95.6,86.6,60.7,45.3,38.9,17.8,28.4,9.2,10.4,1980.0,22.6,
517,100.0,88.7,69.5,61.2,53.8,31.7,36.5,12.5,13.1,1695.0,12.6,
518,100.0,100.0,100.0,98.9,91.8,46.8,35.7,9.8,14.1,1589.0,14.8,
519,97.9,77.1,56.3,40.7,36.1,26.3,32.4,8.0,9.2,2009.0,29.7,
520,100.0,83.7,61.6,48.4,41.5,26.7,34.2,13.0,9.8,1917.0,24.6,
521,100.0,90.2,75.1,65.0,59.8,33.4,32.1,7.2,11.7,1877.0,21.4,
522,99.2,83.6,51.2,36.9,32.2,23.7,45.2,18.6,10.2,1916.0,24.7,
523,100.0,100.0,99.9,96.4,94.6,73.8,39.6,14.9,19.6,1563.0,12.1,
524,99.0,86.6,66.9,45.7,36.7,25.1,31.9,11.3,13.6,1809.0,21.2,
525,100.0,100.0,100.0,97.3,90.4,54.9,31.5,6.5,18.8,1507.0,5.5,
526,100.0,100.0,100.0,99.5,93.7,50.7,30.2,8.4,17.2,1616.0,8.6,
527,100.0,100.0,100.0,99.8,94.7,53.7,30.8,11.1,17.9,1551.0,7.3,
528,100.0,100.0,100.0,99.7,95.3,53.2,33.2,12.4,18.4,1544.0,8.9,
529,100.0,100.0,100.0,99.8,94.8,57.7,29.0,9.8,17.0,1553.0,6.5,
530,100.0,100.0,100.0,99.8,96.0,55.4,29.2,9.6,17.2,1561.0,5.5,
531,100.0,100.0,100.0,99.1,91.7,54.5,29.8,8.9,20.0,1521.0,8.3,
532,100.0,100.0,97.8,92.7,85.5,57.7,29.7,9.1,19.4,1519.0,10.7,
533,100.0,99.4,97.2,92.9,86.8,59.3,31.6,9.9,19.5,1523.0,10.1,
534,100.0,99.5,6.7,91.2,85.4,56.0,30.9,11.1,20.7,1549.0,12.2,
535,100.0,99.5,96.5,90.5,84.9,57.8,30.2,9.9,19.8,1537.0,10.5,
536,100.0,99.5,96.8,92.0,85.7,56.9,34.0,13.3,19.1,1544.0,12.2,
537,100.0,99.5,96.5,90.7,85.4,57.1,29.9,9.1,17.0,1503.0,11.5,
538,100.0,99.4,96.5,91.7,85.6,57.3,29.1,9.9,18.9,1551.0,11.6,
539,100.0,99.4,96.2,90.1,84.3,56.0,32.2,11.3,18.1,1585.0,9.5,
540,99.4,88.7,70.0,57.8,53.2,39.0,33.2,12.2,15.2,1687.0,13.8,
541,99.5,88.6,69.5,55.2,49.8,37.0,34.0,13.3,16.8,1644.0,17.1,
542,80.5,58.1,40.3,27.6,23.3,15.0,33.8,14.1,9.6,2008.0,59.2,
543,98.2,82.2,57.0,44.5,38.8,25.5,35.4,14.9,10.3,1949.0,49.2,
544,97.8,81.8,57.3,44.7,39.0,28.3,35.6,13.1,10.6,1941.0,47.9,
545,97.2,79.6,55.1,38.7,35.0,23.6,37.4,12.1,10.6,1972.0,45.9,
546,91.0,61.0,41.4,25.8,22.4,16.2,37.9,14.6,9.0,2055.0,56.5,
547,89.8,63.1,45.6,30.7,26.2,17.9,36.7,14.2,9.4,2011.0,59.4,
548,93.3,72.6,51.8,37.4,32.4,24.9,36.5,14.5,10.2,1982.0,42.6,
549,91.0,65.3,48.0,32.8,28.4,19.9,35.8,13.0,10.1,2004.0,47.9,
550,94.5,71.3,53.5,41.9,36.3,15.8,27.6,7.9,10.2,2043.0,51.7,
551,92.3,74.2,53.0,39.8,35.1,17.0,32.6,11.1,8.8,2014.0,61.8,
552,90.0,73.7,54.5,38.8,33.4,19.8,26.0,7.0,9.3,2077.0,48.0,
553,90.0,65.9,51.2,37.9,33.2,13.8,26.5,7.4,9.1,2014.0,77.4,
554,92.7,68.0,47.2,27.1,24.4,18.8,37.9,14.1,8.9,2116.0,108.4,
555,87.4,67.2,44.0,27.1,23.9,15.6,35.2,13.1,9.4,2111.0,107.5,
556,90.7,68.8,48.0,28.8,24.9,15.9,35.6,13.0,9.0,2102.0,91.8,
557,82.0,55.0,35.9,22.0,19.9,14.3,42.5,18.2,7.2,2165.0,82.6,
558,99.4,80.1,53.1,35.5,31.0,21.5,36.8,15.0,7.6,2133.0,117.8,
559,91.9,67.8,43.9,28.1,24.9,17.6,36.9,12.5,7.9,2094.0,105.1,
560,92.2,72.7,48.4,34.2,30.0,20.4,36.3,13.7,8.2,2061.0,94.0,
561,100.0,100.0,100.0,100.0,98.9,86.4,49.0,20.0,28.9,1527.0,13.5,
562,100.0,99.8,99.8,99.6,98.7,92.7,53.0,20.0,30.0,1499.0,15.2,
563,100.0,100.0,100.0,99.8,98.8,94.6,50.0,26.0,32.5,1419.0,6.3,
564,100.0,100.0,100.0,99.8,98.8,94.6,50.0,26.0,29.7,1505.0,14.3,
565,100.0,100.0,100.0,99.9,98.9,95.3,53.0,21.0,30.0,1468.0,15.6,
566,100.0,100.0,99.9,99.7,98.0,93.7,54.0,22.0,27.9,1546.0,19.6,
567,100.0,100.0,100.0,99.7,98.6,95.0,53.0,24.0,26.6,1587.0,14.0,
568,100.0,100.0,100.0,99.9,99.2,94.5,63.0,30.0,26.7,1592.0,,
569,100.0,98.9,98.7,98.7,98.3,95.2,70.0,33.0,30.0,1555.0,14.2,
570,100.0,100.0,100.0,99.9,99.5,96.2,62.0,29.0,30.8,1500.0,13.1,
571,100.0,100.0,100.0,99.9,99.3,95.8,66.0,33.0,32.7,1432.0,11.2,
572,100.0,100.0,100.0,99.9,99.6,95.7,71.0,38.0,29.7,1488.0,15.8,
573,100.0,100.0,100.0,99.8,99.3,95.5,56.0,21.0,32.3,1399.0,7.4,
574,100.0,100.0,100.0,99.8,99.3,95.5,56.0,21.0,30.7,1488.0,14.4,
575,100.0,99.7,99.7,99.6,99.2,96.1,70.0,37.0,30.4,1494.0,13.7,
576,100.0,100.0,100.0,99.8,99.2,95.4,54.0,15.0,30.4,1500.0,15.2,
