No. da Amostra,25.4mm,9.5mm,4.8mm,2.0mm,0.42mm,0.076mm,LL,IP,Umidade Ótima,Densidade máxima,CBR,coluna_13
66,99.6,92.6,56.4,34.0,30.9,21.9,34.0,8.0,11.0,1935.0,45.2,
67,99.2,92.5,71.4,49.2,32.7,22.5,34.0,8.0,12.0,1978.0,43.8,
68,97.4,91.3,70.7,53.6,48.4,33.2,30.0,10.0,11.7,1933.0,40.3,
69,97.7,88.4,73.0,61.9,42.7,25.5,34.0,8.0,10.0,1950.0,39.2,
70,99.6,89.6,60.8,41.5,28.9,19.3,34.0,7.0,10.8,1925.0,43.3,
71,98.6,90.2,66.2,46.6,32.4,10.3,33.0,5.0,10.0,1980.0,31.9,
72,98.6,85.3,62.3,43.2,37.6,25.1,35.0,10.0,14.0,1960.0,36.6,
73,98.6,86.2,62.7,47.4,34.7,23.4,34.0,9.0,11.2,1940.0,30.8,
74,98.0,91.8,72.3,54.8,40.9,25.8,32.0,8.0,12.1,1962.0,33.0,
75,99.5,91.0,67.5,49.1,37.7,31.8,35.0,9.0,14.0,1940.0,28.6,
76,98.2,91.4,69.2,51.1,41.4,28.5,35.0,10.0,9.2,1960.0,30.8,
77,99.3,90.4,64.2,42.2,30.7,20.2,36.0,10.0,11.9,1990.0,40.5,
78,98.0,89.8,67.0,55.4,47.0,27.1,35.0,9.0,10.0,2000.0,10.2,
79,98.2,87.7,69.8,57.0,47.2,27.4,35.0,9.0,10.5,2040.0,38.1,
80,99.8,93.4,67.2,48.4,39.6,24.4,35.0,9.0,8.4,1970.0,35.3,
81,99.9,90.8,66.2,41.2,34.3,23.8,34.0,8.0,8.8,1935.0,36.6,
82,98.7,88.1,60.6,44.3,31.7,19.7,37.0,8.0,9.6,1950.0,35.0,
83,100.0,99.6,95.9,87.89,78.0,44.0,37.0,10.0,9.0,1947.0,33.7,
84,99.2,74.0,58.3,43.3,33.1,24.0,32.0,8.0,11.4,1920.0,43.3,
85,98.7,89.9,72.2,60.9,51.2,33.6,35.0,11.0,12.8,1920.0,43.3,
86,98.8,93.2,80.8,69.0,51.2,28.6,33.0,9.0,11.4,1940.0,43.7,
87,99.6,92.6,56.4,34.0,30.9,21.1,37.0,10.0,9.0,1970.0,44.1,
88,98.3,93.1,72.8,56.0,50.2,34.1,35.0,11.0,11.2,1960.0,38.8,
89,99.0,90.7,74.5,63.4,43.5,27.7,34.0,8.0,10.0,1900.0,31.7,
90,99.5,92.6,84.3,76.5,65.7,49.4,36.0,8.0,14.2,1835.0,35.9,
91,98.6,93.2,79.6,67.0,44.4,26.0,33.0,9.0,8.0,1931.0,31.6,
92,88.1,70.4,51.21,48.8,37.2,21.0,35.0,8.0,11.8,1940.0,32.1,
93,99.0,90.4,66.5,51.8,38.9,30.36,37.0,9.0,10.0,1970.0,31.4,
94,100.0,95.5,77.2,66.2,55.2,37.9,35.0,7.0,13.8,1900.0,20.5,
95,98.1,81.0,58.0,45.0,31.1,21.8,35.0,9.0,9.2,1995.0,33.7,
96,99.4,92.9,69.7,52.0,39.4,26.3,34.0,10.0,12.0,1950.0,31.6,
97,99.7,93.9,73.1,59.0,50.7,27.6,34.0,9.0,9.2,1980.0,33.7,
98,98.0,87.4,68.0,56.5,46.6,27.9,35.0,9.0,10.8,1980.0,35.2,
99,92.4,69.2,55.4,49.2,36.1,18.5,37.0,8.0,13.6,1980.0,36.6,
