ID,25.4mm,9.5mm,4.8mm,2.0mm,0.42mm,0.076mm,LL ,IP ,Umidade Ótima,Densidade máxima ,CBR 
455,100.0,98.9,97.1,95.8,90.2,85.1,52.2,10.4,28.7,1415.0,11.3
456,100.0,99.8,96.1,90.5,88.5,87.5,41.3,5.9,30.6,1409.0,7.2
457,100.0,100.0,99.6,97.6,95.8,91.9,50.4,10.5,32.6,1390.0,9.8
458,100.0,99.2,98.9,96.8,93.4,89.7,47.3,10.9,29.8,1432.0,9.0
459,100.0,100.0,99.6,98.1,95.4,91.0,51.2,12.0,31.5,1383.0,10.2
460,100.0,99.3,98.1,96.5,92.2,86.4,46.6,9.9,28.6,1431.0,7.8
461,100.0,98.7,97.4,96.0,94.1,88.2,44.0,8.9,29.4,1466.0,8.9
462,100.0,98.9,96.3,94.2,89.5,79.8,42.8,9.4,26.9,1506.0,6.3
463,100.0,99.8,98.0,95.7,92.6,87.8,48.6,10.1,30.6,1454.0,8.2
464,100.0,94.5,92.9,91.9,84.7,78.2,39.7,8.4,24.9,1529.0,6.8
465,100.0,98.6,95.6,91.9,88.3,76.5,41.6,9.7,27.6,1499.0,6.5
466,100.0,99.2,96.4,94.7,91.8,87.5,48.2,9.9,29.1,1419.0,8.5
467,100.0,97.0,95.2,93.3,92.1,89.3,45.1,7.9,30.2,1473.0,7.9
468,100.0,98.2,97.5,91.8,88.1,80.2,42.1,9.3,27.3,1512.0,7.1
469,100.0,99.1,98.3,93.9,90.1,88.2,51.4,11.2,32.1,1398.0,9.6
470,100.0,99.9,99.0,96.4,90.9,84.4,39.9,4.1,28.7,1430.0,9.8
471,100.0,98.6,97.1,93.9,90.4,85.9,47.3,10.5,29.6,1489.0,7.2
472,100.0,98.9,97.6,95.4,92.7,90.4,50.5,11.4,33.1,1361.0,7.5
473,100.0,99.4,97.9,96.2,91.3,86.4,52.6,12.1,32.2,1385.0,8.8
474,100.0,97.5,96.2,91.9,87.4,82.6,54.1,12.2,33.8,1343.0,10.6
475,100.0,98.1,97.3,95.5,90.3,85.8,49.6,10.2,32.1,1404.0,8.3
476,100.0,100.0,98.5,95.1,90.8,86.3,52.3,12.6,29.6,1428.0,7.8
477,100.0,98.2,96.4,91.1,85.1,79.5,48.6,8.9,26.8,1502.0,6.8
478,100.0,99.4,97.6,94.1,89.7,83.4,47.8,7.5,28.9,1485.0,9.6
479,100.0,100.0,99.0,97.5,94.5,89.1,51.8,12.9,30.4,1411.0,10.8
480,100.0,100.0,99.8,97.1,96.4,92.9,59.4,14.1,31.5,1387.0,9.2
481,100.0,100.0,100.0,98.9,95.4,90.3,51.8,12.3,32.1,1359.0,9.9
482,100.0,100.0,98.8,97.6,93.9,88.5,53.6,12.7,30.2,1465.0,8.6
483,100.0,100.0,100.0,99.8,98.4,97.3,57.9,15.1,31.5,1362.0,8.1
484,100.0,100.0,99.4,98.9,97.6,93.8,59.6,11.3,30.8,1393.0,9.8
485,100.0,100.0,99.4,97.2,93.1,89.8,50.2,12.6,28.9,1472.0,8.3
486,100.0,100.0,100.0,98.5,96.1,92.4,53.3,13.8,32.1,1381.0,10.1
487,100.0,100.0,99.2,96.5,94.3,87.8,46.6,7.5,28.9,1463.0,7.6
488,100.0,100.0,98.6,97.4,96.2,91.5,50.8,10.5,30.6,1416.0,8.8
489,100.0,100.0,100.0,99.7,97.3,92.4,66.0,26.0,32.9,1397.0,18.0
490,100.0,99.6,99.4,98.8,97.1,92.4,61.0,29.0,29.0,1524.0,22.0
491,100.0,99.4,98.8,98.1,95.0,92.3,61.0,27.0,32.6,1365.0,18.1
492,100.0,96.3,93.8,91.8,87.0,79.3,54.0,23.0,28.7,1441.0,18.1
493,100.0,100.0,99.9,99.5,97.1,93.0,60.0,28.0,31.6,1394.0,17.4
494,100.0,100.0,99.9,99.5,97.1,93.0,61.0,27.0,31.9,1424.0,21.7
