ID,25.4mm,9.5mm,4.8mm,2.0mm,0.42mm,0.076mm,LL ,IP ,Umidade Ótima,Densidade máxima ,CBR 
447,100,100,"97,9","96,3","90,8","86,7","54,1","7,4","31,2",1404,"9,2"
448,100,100,"99,9","99,4",96,"93,4","61,4","11,1","33,4",1327,"11,8"
449,100,100,"96,8","93,1","91,6","84,8","55,3","9,4","29,6",1437,"7,5"
450,100,100,"99,3","97,4","92,8","89,4","58,2","9,9","32,1",1345,"9,1"
451,100,"99,2","98,9","96,2","90,3","86,7","58,3","12,2","33,1",1339,"10,9"
452,100,100,"98,2","96,1","91,3","88,9","54,9","11,9","30,9",1354,"8,2"
453,100,100,"97,3","94,7","91,1","89,2",57,"11,7","31,4",1398,"8,7"
454,100,100,"98,3","96,3","91,2","87,9","58,9","13,5",32,1372,"9,2"
455,100,"98,9","97,1","95,8","90,2","85,1","52,2","10,4","28,7",1415,"11,3"
456,100,"99,8","96,1","90,5","88,5","87,5","41,3","5,9","30,6",1409,"7,2"
457,100,100,"99,6","97,6","95,8","91,9","50,4","10,5","32,6",1390,"9,8"
458,100,"99,2","98,9","96,8","93,4","89,7","47,3","10,9","29,8",1432,9
459,100,100,"99,6","98,1","95,4",91,"51,2",12,"31,5",1383,"10,2"
460,100,"99,3","98,1","96,5","92,2","86,4","46,6","9,9","28,6",1431,"7,8"
461,100,"98,7","97,4",96,"94,1","88,2",44,"8,9","29,4",1466,"8,9"
462,100,"98,9","96,3","94,2","89,5","79,8","42,8","9,4","26,9",1506,"6,3"
463,100,"99,8",98,"95,7","92,6","87,8","48,6","10,1","30,6",1454,"8,2"
464,100,"94,5","92,9","91,9","84,7","78,2","39,7","8,4","24,9",1529,"6,8"
465,100,"98,6","95,6","91,9","88,3","76,5","41,6","9,7","27,6",1499,"6,5"
466,100,"99,2","96,4","94,7","91,8","87,5","48,2","9,9","29,1",1419,"8,5"
467,100,97,"95,2","93,3","92,1","89,3","45,1","7,9","30,2",1473,"7,9"
468,100,"98,2","97,5","91,8","88,1","80,2","42,1","9,3","27,3",1512,"7,1"
469,100,"99,1","98,3","93,9","90,1","88,2","51,4","11,2","32,1",1398,"9,6"
470,100,"99,9",99,"96,4","90,9","84,4","39,9","4,1","28,7",1430,"9,8"
471,100,"98,6","97,1","93,9","90,4","85,9","47,3","10,5","29,6",1489,"7,2"
472,100,"98,9","97,6","95,4","92,7","90,4","50,5","11,4","33,1",1361,"7,5"
473,100,"99,4","97,9","96,2","91,3","86,4","52,6","12,1","32,2",1385,"8,8"
474,100,"97,5","96,2","91,9","87,4","82,6","54,1","12,2","33,8",1343,"10,6"
475,100,"98,1","97,3","95,5","90,3","85,8","49,6","10,2","32,1",1404,"8,3"
476,100,100,"98,5","95,1","90,8","86,3","52,3","12,6","29,6",1428,"7,8"
477,100,"98,2","96,4","91,1","85,1","79,5","48,6","8,9","26,8",1502,"6,8"
478,100,"99,4","97,6","94,1","89,7","83,4","47,8","7,5","28,9",1485,"9,6"
479,100,100,99,"97,5","94,5","89,1","51,8","12,9","30,4",1411,"10,8"
480,100,100,"99,8","97,1","96,4","92,9","59,4","14,1","31,5",1387,"9,2"
481,100,100,100,"98,9","95,4","90,3","51,8","12,3","32,1",1359,"9,9"
482,100,100,"98,8","97,6","93,9","88,5","53,6","12,7","30,2",1465,"8,6"
483,100,100,100,"99,8","98,4","97,3","57,9","15,1","31,5",1362,"8,1"
484,100,100,"99,4","98,9","97,6","93,8","59,6","11,3","30,8",1393,"9,8"
485,100,100,"99,4","97,2","93,1","89,8","50,2","12,6","28,9",1472,"8,3"
486,100,100,100,"98,5","96,1","92,4","53,3","13,8","32,1",1381,"10,1"
487,100,100,"99,2","96,5","94,3","87,8","46,6","7,5","28,9",1463,"7,6"
488,100,100,"98,6","97,4","96,2","91,5","50,8","10,5","30,6",1416,"8,8"
489,100,100,100,"99,7","97,3","92,4",66,26,"32,9",1397,18
490,100,"99,6","99,4","98,8","97,1","92,4",61,29,29,1524,22
491,100,"99,4","98,8","98,1",95,"92,3",61,27,"32,6",1365,"18,1"
492,100,"96,3","93,8","91,8",87,"79,3",54,23,"28,7",1441,"18,1"
493,100,100,"99,9","99,5","97,1",93,60,28,"31,6",1394,"17,4"
494,100,100,"99,9","99,5","97,1",93,61,27,"31,9",1424,"21,7"
495,100,"96,5","93,2","90,4","87,5","81,8","46,3","11,3","29,5",1493,"8,3"
496,100,"98,6","97,2","95,6","90,8","86,4","47,3","9,4","30,9",1422,"7,1"
497,100,"98,7","95,3","92,9","88,7","83,1","44,5","10,9","28,3",1487,"9,3"
498,100,"99,4","96,5","91,8","89,2","81,5","42,1","7,6","29,1",1455,"8,6"
499,100,"99,1","97,6","93,4","87,3","78,6","39,8","7,3","27,4",1509,"8,1"
500,100,100,"98,1","95,4","90,2","85,6","50,2","9,9","31,8",1391,"9,8"
501,100,"98,1","96,4","91,7","86,4","80,5","47,8","10,6","29,5",1438,"8,4"
502,100,100,100,100,"96,8",38,"32,8","6,2",14,1701,"10,9"
503,100,100,100,100,"96,9","74,1","47,6","8,9","22,2",1593,"6,9"
504,100,100,100,100,"95,7","74,3","45,7","11,3","21,4",1616,"6,3"
505,100,"95,6",84,"65,5","53,8","21,8","45,7","11,3","9,5",1949,"34,7"
506,100,100,100,100,"95,8","75,3","43,6","10,6","21,9",1605,"5,6"
507,100,100,100,100,"97,2","85,9","47,4","6,1","22,6",1519,"6,3"
508,100,100,100,100,"96,9","74,1","41,7","13,6",21,1612,"6,3"
509,100,100,100,100,"90,9","55,3","38,7","12,6","14,8",1638,"7,7"
510,100,100,100,100,"93,5","68,7","38,7",16,"16,6",1656,"6,8"
511,100,100,100,100,"88,8","70,4","43,4","15,1",15,1591,"7,2"
512,100,100,100,100,"92,7","78,4","42,6","13,8","22,7",1620,"6,9"
513,100,"95,1","79,5","71,4","60,9","51,3","37,6","12,5","16,3",1731,"13,8"
514,100,"94,2","79,1","7,07","58,9","47,4","34,5","14,1","15,7",1710,"13,7"
515,100,100,100,100,92,"77,7","44,4","10,2","24,5",1607,"6,3"
516,100,100,100,100,"94,7","82,2","43,8","13,6","22,5",1596,"6,8"
517,100,100,100,100,"95,2","74,3","38,8","18,4","17,7",1659,"8,8"
518,100,100,100,100,"93,6","80,3","41,6","13,9","22,3",1605,"7,3"
519,100,100,100,100,"91,8","65,3","39,7","11,5","15,1",1641,"6,6"
520,100,100,100,100,"91,7","77,9","42,8","14,6","22,8",1635,"7,7"
521,100,100,100,100,"94,2","74,8","38,6","16,4","17,3",1665,"7,7"
522,100,100,100,100,"96,2","78,5","39,8","16,4","18,7",1647,"6,9"
523,100,100,100,100,"94,1","74,6","39,7","16,5","16,4",1650,"8,2"
524,100,100,100,100,"92,3","78,3","41,7","19,9","22,3",1625,"6,9"
525,100,100,100,100,"93,7","80,9","46,7","10,5","24,3",1561,"5,7"
526,100,100,100,100,"93,1","78,4","42,7","11,3","22,3",1618,"6,4"
527,100,100,100,100,92,"83,4","45,4","8,7","22,3",1547,"4,7"
528,100,100,100,100,"97,1","86,8","46,6","10,4","23,2",1561,"5,9"
529,100,100,100,100,"92,7","79,3","42,9","16,1","21,9",1602,"6,1"
530,100,100,100,100,"94,3","75,8","38,7","16,7","16,8",1674,"7,6"
531,100,100,100,100,"91,5","78,4","42,4","15,2","22,8",1629,7
532,100,100,100,100,"95,1","74,2","40,6","16,4","15,5",1673,"8,9"
533,100,100,100,100,"95,1","76,7","37,7",17,"16,3",1643,"6,8"
534,100,100,100,100,"94,9","73,7",38,17,"17,8",1664,9
