25.4mm,9.5mm,4.8mm,2.0mm,0.42mm,0.076mm,LL ,IP ,Umidade Ótima,Densidade máxima ,CBR 
100,100,"98,36","94,38","86,11","67,76","28,3","10,8","22,68",1 .640,"9,3"
100,100,"98,42","94,66","85,89","67,68","26,8","14,9","22,54",1 .640,"8,9"
100,100,"98,06","94,59","86,27","67,79","27,6","16,8","22,82",1 .640,"10,2"
100,100,"98,2","94,53","85,77","70,19","29,8","16,8","22,74",1 .640,"10,4"
100,"99,56","97,75","93,71","85,01","69,02","35,2","16,7","22,65",1 .640,"9,4"
100,"99,52","97,73","93,82","84,65","65,03","27,8","13,6","22,46",1 .640,"7,9"
100,100,"98,21","94,49","85,73","69,73","37,1","16,6","22,48",1 .640,"10,4"
100,"99,56","97,85","93,83","86,93","68,56","33,5","17,9","22,52",1 .640,"10,4"
100,"99,58","97,93","93,88","85,12","69,67",38,"14,9","21,47",1 .636,"9,6"
100,"99,52","97,38","93,6","84,42","67,13","36,3","16,7","22,12",1 .640,"9,4"
100,"99,42","97,72","93,99","85,72","70,68","28,7","14,1","22,48",1 .640,"8,7"
100,"99,53","98,34","94,93","86,61","70,17","25,5","12,7","21,94",1 .636,10
100,100,"98,25","94,69","84,47","66,52","38,2","11,7","22,57",1 .640,"11,3"
100,"99,48","97,83","93,94","85,24","67,37","37,7","15,6","22,48",1 .640,"10,8"
100,"99,58","97,84","94,07","85,37","66,64","27,8","15,4","22,82",1 .640,"10,1"
100,"99,43","97,49","94,04","86,26","70,51","31,7","13,9","21,2",1 .640,"10,9"
100,"99,57","97,71","94,29","85,99","70,45","26,7","15,4","21,55",1 .636,"10,2"
100,"99,52","97,88","94,56","85,73","69,27","33,4","12,9","21,75",1 .636,"11,3"
100,"99,53","97,88","94,51","84,76","67,21","36,9","9,1","22,1",1 .640,"10,5"
100,"99,52","97,84","94,28","83,07","65,07","32,4","13,9","21,74",1 .640,"10,9"
100,"99,52","97,76","93,88","84,65","66,84","28,3","11,3","22,62",1 .640,"11,4"
100,"99,42","97,72","93,9","85,6","69,68","31,4","14,1","21,76",1 .640,"11,5"
100,"99,37","97,67","93,95","84,75","66,93","27,2","4,5","22,47",1 .640,"10,9"
100,100,100,"99,2","90,5","71,4","42,3","13,4","22,8",1 .628,"14,7"
100,100,100,"99,5",88,"67,4","42,2","13,7","22,9",1 .636,"13,7"
100,100,100,"98,8","88,2",70,"43,5","13,6",23,1 .634,"15,1"
100,100,100,"98,8","87,2","66,1","43,9",14,"22,8",1 .640,"14,5"
100,100,100,"98,8","88,9",66,"43,2",13,"23,6",1 .623,"13,8"
100,100,100,"99,4","88,9","67,7","43,8","13,8","23,3",1 .630,"14,7"
100,100,100,"99,1","86,4",64,"43,2","13,5","23,6",1 .614,"13,4"
100,100,100,"93,3","89,3",65,42,"13,6","23,2",1 .622,14
100,100,100,"97,3","87,6","63,6","44,4","14,4","23,7",1 .572,"15,5"
100,100,100,"97,5",87,"64,3","43,2","14,1",24,1 .567,"14,2"
100,100,100,100,77,"37,78",40,12,"22,1","1.440,00","7,4"
100,100,100,100,"77,91","36,31",39,13,"22,1","1.435,00","7,7"
100,100,100,100,"77,97","40,26",39,15,"22,9","1.449,00","7,2"
100,100,100,100,"77,97","37,61",37,13,22,"1.445,00","7,1"
100,100,"98,89","95,57","85,65","62,19",39,12,"22,4","1.555,00",11
100,100,"98,89","95,39","85,45","61,28",40,14,"22,7","1.552,00","14,5"
100,100,"98,97","95,53","86,93","62,07",39,12,"22,2","1.528,00","12,7"
100,100,"99,11","95,51","87,9","62,63",39,12,"22,3","1.526,00","12,7"
100,100,100,100,"77,72","40,4",38,12,"22,5","1.457,00","7,7"
100,100,100,100,78,"41,68",39,13,"22,8","1.409,00","7,4"
100,100,100,100,"75,83","36,3",39,10,"22,5","1.475,00","9,9"
100,100,100,"99,9","95,7","91,4",59,21,"30,3","1.463,00","6,7"
100,100,100,"99,9","96,9","91,9",60,22,"31,4","1.452,00","8,4"
100,100,"99,9","99,9","97,9","93,3",54,16,"28,6","1.462,00","13,3"
100,100,"99,9","99,8","98,2","95,3",54,16,"31,4","1.448,00","4,4"
100,100,100,"99,8","96,6","92,2",53,15,"30,2","1.449,00","7,7"
100,100,100,"99,9","95,5",91,54,16,"30,9","1.459,00","5,4"
100,100,"99,8","98,4",95,"90,7",50,12,"28,1","1.510,00","6,9"
"99,9","99,9","99,9","99,4","96,2","91,9",52,18,"29,4","1.447,00",6
"99,9","99,9",100,"99,8","96,7","92,1",57,22,"28,8","1.469,00","7,3"
"99,9","99,9",100,"99,9","96,3",92,58,20,"30,3","1.458,00","8,7"
"99,9","99,9","99,9","99,4","96,1",93,54,22,"28,1","1.491,00","6,7"
"99,9","99,9",100,"99,9","97,2","93,7",57,22,"30,7","1.438,00","7,3"
"99,9","99,9",100,"99,8","97,7",90,55,18,"30,1","1.426,00","8,8"
"99,9","99,9",100,"99,8","97,4","90,9",55,20,29,"1.477,00","9,7"
100,100,100,"99,9","98,1",93,55,19,"29,8","1.442,00","11,3"
100,100,100,"99,9","97,7","94,7",56,20,"29,3","1.450,00","10,6"
100,100,"99,9","99,7","95,5","90,6",56,22,"29,6","1.482,00","7,6"
"96,7","81,3","58,1","45,2","31,3","20,8",35,8,"10,4","1.990,00","45,7"
"99,5","91,2","65,8","50,7","37,5","21,51",33,8,11,"1.940,00","42,3"
"99,9","92,5","76,2","62,1","49,5","33,2",37,11,12,"1.942,00","40,5"
"98,8","84,7","61,1","42,3","28,6","18,7",36,9,"10,1","1.940,00","40,5"
"99,6","92,6","56,4",34,"30,9","21,9",34,8,11,"1.935,00","45,2"
"99,2","92,5","71,4","49,2","32,7","22,5",34,8,12,"1.978,00","43,8"
"97,4","91,3","70,7","53,6","48,4","33,2",30,10,"11,7","1.933,00","40,3"
"97,7","88,4",73,"61,9","42,7","25,5",34,8,10,"1.950,00","39,2"
"99,6","89,6","60,8","41,5","28,9","19,3",34,7,"10,8","1.925,00","43,3"
"98,6","90,2","66,2","46,6","32,4","10,3",33,5,10,"1.980,00","31,9"
"98,6","85,3","62,3","43,2","37,6","25,1",35,10,14,"1.960,00","36,6"
"98,6","86,2","62,7","47,4","34,7","23,4",34,9,"11,2","1.940,00","30,8"
98,"91,8","72,3","54,8","40,9","25,8",32,8,"12,1","1.962,00",33
"99,5",91,"67,5","49,1","37,7","31,8",35,9,14,"1.940,00","28,6"
"98,2","91,4","69,2","51,1","41,4","28,5",35,10,"9,2","1.960,00","30,8"
"99,3","90,4","64,2","42,2","30,7","20,2",36,10,"11,9","1.990,00","40,5"
98,"89,8",67,"55,4",47,"27,1",35,9,10,"2.000,00","10,2"
"98,2","87,7","69,8",57,"47,2","27,4",35,9,"10,5","2.040,00","38,1"
"99,8","93,4","67,2","48,4","39,6","24,4",35,9,"8,4","1.970,00","35,3"
"99,9","90,8","66,2","41,2","34,3","23,8",34,8,"8,8","1.935,00","36,6"
"98,7","88,1","60,6","44,3","31,7","19,7",37,8,"9,6","1.950,00",35
100,"99,6","95,9","87,89",78,44,37,10,9,"1.947,00","33,7"
"99,2",74,"58,3","43,3","33,1",24,32,8,"11,4","1.920,00","43,3"
"98,7","89,9","72,2","60,9","51,2","33,6",35,11,"12,8","1.920,00","43,3"
"98,8","93,2","80,8",69,"51,2","28,6",33,9,"11,4","1.940,00","43,7"
"99,6","92,6","56,4",34,"30,9","21,1",37,10,9,"1.970,00","44,1"
"98,3","93,1","72,8",56,"50,2","34,1",35,11,"11,2","1.960,00","38,8"
99,"90,7","74,5","63,4","43,5","27,7",34,8,10,"1.900,00","31,7"
"99,5","92,6","84,3","76,5","65,7","49,4",36,8,"14,2","1.835,00","35,9"
"98,6","93,2","79,6",67,"44,4",26,33,9,8,"1.931,00","31,6"
"88,1","70,4","51,21","48,8","37,2",21,35,8,"11,8","1.940,00","32,1"
99,"90,4","66,5","51,8","38,9","30,36",37,9,10,"1.970,00","31,4"
100,"95,5","77,2","66,2","55,2","37,9",35,7,"13,8","1.900,00","20,5"
"98,1",81,58,45,"31,1","21,8",35,9,"9,2","1.995,00","33,7"
"99,4","92,9","69,7",52,"39,4","26,3",34,10,12,"1.950,00","31,6"
"99,7","93,9","73,1",59,"50,7","27,6",34,9,"9,2","1.980,00","33,7"
98,"87,4",68,"56,5","46,6","27,9",35,9,"10,8","1.980,00","35,2"
"92,4","69,2","55,4","49,2","36,1","18,5",37,8,"13,6","1.980,00","36,6"
"99,5","89,6","59,4","36,4","29,5","19,67",34,8,"12,2","1.940,00","36,6"
90,"64,84","49,9","38,92","29,34","15,68",32,10,"8,6","2.025,00","60,45"
"94,6","60,7","48,5","39,5","32,6","22,1",32,11,"8,6","2.005,00","45,32"
"96,2","81,1","63,4","50,8","38,8","22,3",33,11,"10,1","2.064,00","57,79"
"94,2","79,1",68,"55,3","41,3","26,1",35,13,"8,9","2.133,00","49,92"
"91,4","71,6","61,5",56,"37,1","19,8",32,7,"9,7","2.096,00","39,52"
"88,4","67,9",54,40,"32,4","25,9",32,32,"7,1","2.151,00","54,53"
"91,6","65,8","53,4","37,8","31,5","24,5",30,30,"7,2","2.143,00","57,58"
"92,1","66,5","55,1","38,5","31,5",25,32,32,7,"2.165,00","60,02"
"97,3","79,1","63,6","48,5","41,4","33,6",40,14,"10,2","2.036,00","58,9"
"98,4","85,5","59,9","39,5",33,"25,8",33,12,"11,7","2.090,00","54,26"
95,69,"52,6","34,5","27,7","19,7","30,1","8,9","6,1","2.116,00","85,8"
"91,3","67,1","58,4","41,2","29,7","23,1",29,10,"7,2","2.120,00","115,77"
"94,6","77,6","64,5","54,7",36,"15,6",28,9,8,"2.115,00","82,53"
"92,5","87,2","75,2","62,1","40,9","23,4",27,8,"7,4","2.093,00","45,16"
"91,06","57,58","46,41","37,09","29,26","15,49",30,9,"8,2","2.047,00","27,04"
"92,7","67,6","57,7","49,6",42,"28,9",34,14,"10,6","1.935,00","21,98"
"88,6","68,9",58,"48,9",38,"21,7",33,11,9,"1.983,00",24
"92,4","72,9","61,2","52,2","41,42","25,8",35,12,"11,8","1.853,00","42,02"
"88,8","68,6","53,7","40,2","33,1",27,33,12,"9,9","2.008,00","39,82"
"97,9","82,6","62,3","46,6","41,3",26,31,11,"10,9","2.064,00","38,31"
"94,9","77,5","61,6","48,3",41,"27,6",34,12,"10,9","2.036,00","40,83"
"96,7","77,8",62,"51,3","45,4",37,36,13,"11,3","1.790,00","37,51"
100,100,98,"93,6","75,2","49,6",40,15,"14,5","1.688,00","12,78"
96,"74,7","54,2","41,2","30,2","17,6",31,12,12,"1.937,00","31,62"
96,"79,3","68,1","52,4",41,"23,6",29,9,"8,9","2.035,00","74,42"
96,81,62,"43,1","28,8","16,6",38,14,10,"2.046,00","24,71"
"97,9","83,7","55,6","40,5","30,4","20,7",41,15,"12,5","1.931,00","43,91"
"92,7",74,"58,8","43,5","31,9","18,7",30,9,"13,3","1.931,00","22,88"
"97,7","85,1","69,8","53,4","41,1","23,2",33,11,"10,6","1.979,00","20,32"
"98,9","86,3","63,3","43,3",36,"27,6",34,13,"12,1","1.938,00","26,31"
98,"88,2","70,1","42,2","33,5","26,1",33,"12,5","9,6","1.996,00","33,6"
"93,8","69,2","51,3",35,"28,5","20,5","29,6","8,4","10,5","1.994,00","33,1"
"93,7","91,3","66,8","53,9","36,8","16,9",29,11,"8,4","2.035,00","41,62"
"92,2",80,"67,7","53,4","35,3","15,7",35,12,"8,7","2.029,00","45,18"
93,"81,7","68,9",55,"36,9","17,3",29,11,"7,6","2.081,00","49,5"
100,100,100,"97,1","92,4","76,1",41,16,17,"1.592,00","13,22"
100,100,"98,97","95,57","83,62","51,61",38,16,"16,3","1.603,00","8,29"
100,"99,5","99,3","98,4","94,3","52,1",37,17,"16,1","1.762,00","15,85"
100,100,"99,5","98,5","93,1","50,2",37,15,"17,4","1.664,00","11,2"
97,"88,9","85,4","80,9","70,3","46,9",35,15,"16,3","1.595,00","7,43"
100,100,99,"95,1",87,"64,9",38,17,"18,14","1.570,00","8,45"
100,100,"99,5",97,86,"61,3",42,17,"17,8","1.618,00","9,13"
"97,9","80,5","60,5",45,40,"25,5",35,13,"8,8","1.947,00","16,64"
"93,9","79,4","70,5","63,5","52,7","35,2",38,13,"15,4","1.849,00","13,81"
100,"99,6","98,9","97,5","85,7","59,1",43,19,"25,3","1.510,00","7,32"
100,100,100,97,"81,3","55,7",42,16,"16,2","1.543,00","6,14"
100,100,"98,8","96,2","83,6","56,8",43,14,"17,7","1.640,00","7,09"
"98,4","89,9","77,2","68,7","56,6",43,40,16,"16,4","1.690,00","8,28"
100,100,100,98,"87,7","65,1",41,17,"21,1","1.409,00","6,93"
"96,5","86,3","74,9","63,9","49,6","34,3",42,16,"15,5","1.803,00","13,57"
"97,9","82,5","60,2","45,9","34,5","21,7",37,15,"14,1","1.855,00","19,31"
100,100,"99,1",98,"89,4",63,42,16,"22,5","1.510,00","11,14"
100,"97,3","91,2","83,9","70,9","39,9",38,15,"14,7","1.740,00","13,27"
